site,tomst_id,start_date,end_date,probl
EVO001,94214145,2021-05-01,2021-10-25,2
EVO007,94214121,2021-05-01,2021-10-19,2
EVO007,94214121,2021-10-20,2021-10-21,1
EVO007,94214121,2021-10-22,2021-10-25,2
EVO010,94214148,2021-05-01,2021-10-24,2
EVO013,94214102,2021-05-01,2021-10-19,2
EVO013,94214102,2021-10-20,2021-10-25,1
EVO013,94214102,2021-10-26,2022-11-22,8
EVO014,94214310,2021-05-01,2021-10-19,2
EVO014,94214310,2021-10-20,2021-10-25,1
EVO014,94214310,2021-10-26,2022-11-22,8
EVO016,94214116,2021-05-01,2021-10-19,2
EVO016,94214116,2021-10-20,2021-10-21,1
EVO016,94214116,2021-10-22,2021-10-25,2
EVO017,94214104,2021-05-01,2021-10-19,2
EVO017,94214104,2021-10-20,2021-10-24,1
EVO017,94214104,2021-10-25,2022-11-22,8
EVO018,94214123,2021-05-01,2021-10-19,2
EVO018,94214123,2021-10-20,2021-10-21,1
EVO018,94214123,2021-10-22,2021-10-25,2
EVO020,94214135,2021-05-01,2021-10-25,2
EVO025,94214144,2021-05-01,2021-10-24,2
EVO028,94214133,2021-05-01,2021-10-25,2
EVO029,94214146,2021-05-01,2021-10-24,2
EVO031,94214108,2021-05-01,2021-10-19,2
EVO031,94214108,2021-10-20,2021-10-24,1
EVO031,94214108,2021-10-25,2022-11-23,8
EVO032,94214137,2021-05-01,2021-10-25,2
EVO033,94214113,2021-05-01,2021-10-19,2
EVO033,94214113,2021-10-20,2021-10-24,1
EVO033,94214113,2021-10-25,2022-11-23,8
EVO034,94214110,2021-05-01,2021-10-19,2
EVO034,94214110,2021-10-20,2021-10-24,1
EVO034,94214110,2021-10-25,2022-11-23,8
EVO036,94214120,2021-05-01,2021-10-19,2
EVO036,94214120,2021-10-20,2021-10-21,1
EVO036,94214120,2021-10-22,2021-10-25,2
EVO041,94214142,2021-05-01,2021-10-24,2
EVO043,94214147,2021-05-01,2021-10-24,2
EVO043,94214147,2022-07-11,2023-10-25,1
EVO052,94214124,2021-05-01,2021-10-03,2
EVO052,94214124,2021-10-04,2021-10-21,1
EVO052,94214124,2021-10-22,2021-10-25,2
EVO053,94214150,2021-05-01,2021-10-19,2
EVO053,94214150,2021-10-20,2021-10-21,1
EVO053,94214150,2021-10-22,2021-10-24,2
EVO054,94214126,2021-05-01,2021-10-25,2
EVO056,94214136,2021-05-01,2021-10-25,2
EVO057,94214134,2021-05-01,2021-10-25,2
EVO060,94214103,2021-05-01,2021-10-19,2
EVO060,94214103,2021-10-20,2021-10-24,1
EVO060,94214103,2021-10-25,2022-11-22,8
EVO061,94214117,2021-05-01,2021-10-19,2
EVO061,94214117,2021-10-20,2021-10-21,1
EVO061,94214117,2021-10-22,2021-10-25,2
EVO064,94214127,2021-05-01,2021-10-25,2
EVO064,94214127,2023-10-25,2023-10-27,2
EVO065,94214115,2021-05-01,2021-10-19,2
EVO065,94214115,2021-10-20,2021-10-24,1
EVO065,94214115,2021-10-25,2022-11-22,8
EVO066,94214143,2021-05-01,2021-10-24,2
EVO067,94214105,2021-05-01,2021-10-19,2
EVO067,94214105,2021-10-20,2021-10-24,1
EVO067,94214105,2021-10-25,2022-11-22,8
EVO067,94214105,2023-09-14,2023-10-25,1
EVO072,94214129,2021-05-01,2021-10-25,2
EVO074,94214107,2021-05-01,2021-10-19,2
EVO074,94214107,2021-10-20,2021-10-24,1
EVO074,94214107,2021-10-25,2022-11-23,8
EVO076,94214111,2021-05-01,2021-10-19,2
EVO076,94214111,2021-10-20,2021-10-24,1
EVO076,94214111,2021-10-25,2022-11-23,8
EVO077,94214122,2021-05-01,2021-10-19,2
EVO077,94214122,2021-10-20,2021-10-21,1
EVO077,94214122,2021-10-22,2021-10-25,2
EVO078,94214128,2021-05-01,2021-10-25,2
EVO079,94214125,2021-05-01,2021-10-19,2
EVO079,94214125,2021-10-20,2021-10-21,1
EVO079,94214125,2021-10-22,2021-10-25,2
EVO080,94214140,2021-05-01,2021-10-25,2
EVO081,94214141,2021-05-01,2021-10-24,2
EVO082,94214306,2021-05-01,2021-10-19,2
EVO082,94214306,2021-10-20,2021-10-24,1
EVO082,94214306,2021-10-25,2022-11-23,8
EVO085,94214112,2021-05-01,2021-10-19,2
EVO085,94214112,2021-10-20,2021-10-24,1
EVO085,94214112,2021-10-25,2022-11-23,8
EVO087,94214132,2021-05-01,2021-10-25,2
EVO088,94214149,2021-05-01,2021-10-24,2
EVO090,94214109,2021-05-01,2021-10-19,2
EVO090,94214109,2021-10-20,2021-10-24,1
EVO090,94214109,2021-10-25,2022-11-23,8
EVO093,94214139,2021-05-01,2021-10-25,2
EVO094,94214106,2021-05-01,2021-10-19,2
EVO094,94214106,2021-10-20,2021-10-21,1
EVO094,94214106,2021-10-22,2021-10-24,2
EVO095,94214131,2021-05-01,2021-10-25,2
EVO097,94214114,2021-05-01,2021-10-19,2
EVO097,94214114,2021-10-20,2021-10-24,1
EVO097,94214114,2021-10-25,2022-11-23,8
EVO098,94214138,2021-05-01,2021-10-25,2
EVO100,94214119,2021-05-01,2021-10-19,2
EVO100,94214119,2021-10-20,2021-10-21,1
EVO100,94214119,2021-10-22,2021-10-25,2
EVO101,94214130,2021-05-01,2021-10-25,2
