site,tomst_id,start_date,end_date,probl
HYY001,94194348,2019-06-11,2019-08-25,2
HYY002,94194216,2019-06-10,2019-08-24,2
HYY003,94194227,2019-06-10,2019-08-25,2
HYY004,94194235,2019-06-10,2019-08-26,2
HYY005,94194344,2019-06-11,2019-08-25,2
HYY006,94194343,2019-06-11,2019-08-25,2
HYY007,94194240,2019-06-10,2019-08-26,2
HYY008,94194220,2019-06-10,2019-08-24,2
HYY009,94194218,2019-06-10,2019-08-24,2
HYY010,94194423,2019-07-10,2019-08-25,2
HYY011,94194222,2019-06-10,2019-08-25,2
HYY013,94194212,2019-06-10,2019-08-24,2
HYY014,94194225,2019-06-10,2019-08-25,2
HYY015,94194345,2019-06-11,2019-08-25,2
HYY016,94194358,2019-06-11,2019-08-24,2
HYY018,94194219,2019-06-10,2019-08-24,2
HYY019,94194229,2019-06-10,2019-08-25,2
HYY021,94194221,2019-06-10,2019-08-25,2
HYY022,94194357,2019-06-11,2019-08-24,2
HYY024,94194215,2019-06-10,2019-08-24,2
HYY025,94194234,2019-06-10,2019-08-26,2
HYY025,94194234,2020-07-23,2020-10-27,1
HYY026,94194360,2019-06-11,2019-08-25,2
HYY027,94194232,2019-06-10,2019-08-26,2
HYY028,94194233,2019-06-10,2019-08-26,2
HYY029,94194228,2019-06-10,2019-08-25,2
HYY029,94194228,2021-10-12,2022-10-19,1
HYY030,94194350,2019-06-11,2019-08-25,2
HYY031,94194211,2019-06-10,2019-08-24,2
HYY032,94194356,2019-06-11,2019-08-24,2
HYY032,94194356,2020-04-25,2020-10-27,1
HYY032,94194356,2022-07-23,2022-10-20,1
HYY033,94194351,2019-06-11,2019-08-24,2
HYY034,94194217,2019-06-10,2019-08-24,2
HYY035,94194238,2019-06-10,2019-08-26,2
HYY036,94194239,2019-06-10,2019-08-26,2
HYY037,94194230,2019-06-10,2019-08-25,2
HYY038,94194231,2019-06-10,2019-08-26,2
HYY039,94194353,2019-06-11,2019-08-24,2
HYY040,94194354,2019-06-11,2019-08-24,2
HYY041,94194349,2019-06-11,2019-08-25,2
HYY042,94194226,2019-06-10,2019-08-25,2
HYY043,94194213,2019-06-10,2019-08-25,2
HYY044,94194224,2019-06-10,2019-08-25,2
HYY045,94194342,2019-06-11,2019-08-25,2
HYY046,94194355,2019-06-11,2019-08-24,2
HYY047,94194214,2019-06-10,2019-08-24,2
HYY049,94194352,2019-06-11,2019-08-24,2
HYY050,94194341,2019-06-11,2019-08-25,2
HYY050,94194341,2022-09-01,2022-10-19,3
HYY051,94194347,2019-06-11,2019-08-25,2
HYY052,94194236,2019-06-10,2019-08-26,2
HYY053,94194346,2019-06-11,2019-08-25,2
HYY053,94194346,2020-05-16,2020-10-28,1
HYY053,94194346,2021-04-14,2021-09-23,1
HYY055,94194223,2019-06-10,2019-08-26,2
HYY056,94194237,2019-06-10,2019-08-26,2
HYY016,95224054,2022-10-01,2022-10-19,2
HYY025,95224051,2022-10-01,2022-10-19,2
HYY032,94194356,2023-06-08,2023-10-27,1
HYY053,95224061,2022-10-01,2022-10-19,2
