site,tomst_id,start_date,end_date,probl
AIL101,94194171,2019-06-03,2019-08-15,2
AIL102,94194173,2019-06-03,2019-08-15,2
AIL102,94194173,2022-04-18,2022-09-17,3
AIL103,94194172,2019-06-03,2019-08-15,2
AIL103,94194172,2022-05-30,2022-09-17,1
AIL104,94194174,2019-06-03,2019-08-15,2
AIL105,94194176,2019-06-03,2019-08-15,2
AIL106,94194049,2019-06-03,2019-08-21,2
AIL107,94194047,2019-06-03,2019-08-21,2
AIL108,94194028,2019-06-03,2019-08-20,2
AIL109,94194029,2019-06-03,2019-08-20,2
AIL110,94194041,2019-06-03,2019-08-21,2
AIL111,94194184,2019-06-03,2019-08-14,2
AIL112,94194189,2019-06-03,2019-08-14,2
AIL113,94194187,2019-06-03,2019-08-14,2
AIL114,94194179,2019-06-03,2019-08-15,2
AIL115,94194175,2019-06-03,2019-08-15,2
AIL116,94194043,2019-06-03,2019-08-21,2
AIL117,94194045,2019-06-03,2019-08-21,2
AIL118,94194044,2019-06-03,2019-08-21,2
AIL119,94194026,2019-06-03,2019-08-20,2
AIL120,94194024,2019-06-03,2019-08-20,2
AIL121,94194182,2019-06-03,2019-08-14,2
AIL122,94194185,2019-06-03,2019-08-14,2
AIL123,94194180,2019-06-03,2019-08-15,2
AIL124,94194177,2019-06-03,2019-08-15,2
AIL125,94194178,2019-06-03,2019-08-15,2
AIL125,94194178,2021-11-14,2022-09-17,1
AIL126,94194048,2019-06-03,2019-08-21,2
AIL127,94194022,2019-06-03,2019-08-20,2
AIL127,94194022,2020-07-05,2020-08-24,3
AIL128,94194021,2019-06-03,2019-08-20,2
AIL128,94194021,2020-04-07,2020-08-24,3
AIL129,94194023,2019-06-03,2019-08-20,2
AIL130,94194025,2019-06-03,2019-08-20,2
AIL131,94194183,2019-06-03,2019-08-14,2
AIL132,94194190,2019-06-03,2019-08-14,2
AIL133,94194010,2019-06-03,2019-08-17,2
AIL134,94194002,2019-06-03,2019-08-17,2
AIL134,94194002,2021-05-17,2021-08-26,1
AIL134,94194002,2022-06-25,2022-09-17,3
AIL135,94194092,2019-06-03,2019-08-20,2
AIL135,94194092,2020-10-15,2021-08-26,1
AIL136,94194099,2019-06-03,2019-08-20,2
AIL137,94194100,2019-06-03,2019-08-20,2
AIL138,94194027,2019-06-03,2019-08-20,2
AIL139,94194030,2019-06-03,2019-08-20,2
AIL140,94194097,2019-06-03,2019-08-20,2
AIL141,94194181,2019-06-03,2019-08-14,2
AIL142,94194188,2019-06-03,2019-08-14,2
AIL143,94194009,2019-06-03,2019-08-17,2
AIL143,94194009,2022-07-04,2022-09-17,3
AIL144,94194007,2019-06-03,2019-08-17,2
AIL145,94194098,2019-06-03,2019-08-20,2
AIL146,94194096,2019-06-03,2019-08-20,2
AIL147,94194094,2019-06-03,2019-08-20,2
AIL147,94194094,2019-09-27,2020-08-24,1
AIL148,94194095,2019-06-03,2019-08-20,2
AIL148,94194095,2019-09-27,2020-08-24,1
AIL149,94194093,2019-06-03,2019-08-20,2
AIL149,94194093,2020-09-27,2021-08-17,1
AIL150,94194091,2019-06-03,2019-08-20,2
AIL151,94194186,2019-06-03,2019-08-14,2
AIL152,94194008,2019-06-03,2019-08-17,2
AIL152,94194008,2020-10-14,2021-08-26,1
AIL152,94194008,2022-05-23,2022-09-27,3
AIL153,94194006,2019-06-03,2019-08-17,2
AIL154,94194003,2019-06-03,2019-08-17,2
AIL155,94194054,2019-06-03,2019-08-27,2
AIL156,94194071,2019-06-03,2019-08-27,2
AIL157,94194074,2019-06-03,2019-08-27,2
AIL157,94194074,2021-06-10,2021-08-26,1
AIL158,94194075,2019-06-03,2019-08-27,2
AIL158,94194075,2022-06-20,2022-08-18,9
AIL159,94194077,2019-06-03,2019-08-27,2
AIL160,94194073,2019-06-03,2019-08-27,2
AIL160,94194073,2020-06-07,2020-08-25,1
AIL160,94194073,2021-08-10,2021-08-17,1
AIL161,94194198,2019-06-03,2019-08-17,2
