site,maxdt,tomst_id
AIL101,2020-08-13T07:15:00Z,94194171
AIL102,2020-08-13T08:30:00Z,94194173
AIL103,2020-08-13T09:00:00Z,94194172
AIL104,2020-08-13T09:45:00Z,94194174
AIL105,2020-08-13T10:15:00Z,94194176
AIL106,2020-08-26T12:15:00Z,94194049
AIL108,2020-08-26T09:30:00Z,94194028
AIL109,2020-08-23T16:00:00Z,94194029
AIL110,2020-08-23T15:30:00Z,94194041
AIL111,2020-08-04T07:30:00Z,94194184
AIL112,2020-08-04T13:45:00Z,94194189
AIL113,2020-08-04T14:15:00Z,94194187
AIL114,2020-08-13T13:45:00Z,94194179
AIL115,2020-08-13T11:15:00Z,94194175
AIL116,2020-08-26T12:00:00Z,94194043
AIL118,2020-08-26T10:30:00Z,94194044
AIL119,2020-08-26T10:00:00Z,94194026
AIL120,2020-08-24T08:30:00Z,94194024
AIL121,2020-08-04T08:00:00Z,94194182
AIL122,2020-08-04T12:45:00Z,94194185
AIL123,2020-08-13T14:15:00Z,94194180
AIL124,2020-08-13T13:00:00Z,94194177
AIL125,2020-08-13T12:00:00Z,94194178
AIL126,2020-08-26T11:15:00Z,94194048
AIL127,2020-08-24T11:00:00Z,94194022
AIL128,2020-08-24T10:30:00Z,94194021
AIL129,2020-08-24T10:15:00Z,94194023
AIL130,2020-08-24T09:00:00Z,94194025
AIL131,2020-08-04T08:45:00Z,94194183
AIL132,2020-08-04T12:30:00Z,94194190
AIL133,2020-08-12T13:00:00Z,94194010
AIL134,2020-08-12T12:45:00Z,94194002
AIL135,2020-08-24T13:00:00Z,94194092
AIL136,2020-08-24T12:30:00Z,94194099
AIL137,2020-08-24T11:45:00Z,94194100
AIL138,2020-08-24T09:45:00Z,94194027
AIL139,2020-08-24T09:30:00Z,94194030
AIL140,2020-08-24T16:30:00Z,94194097
AIL141,2020-08-04T09:30:00Z,94194181
AIL142,2020-08-04T11:15:00Z,94194188
AIL143,2020-08-12T13:45:00Z,94194009
AIL144,2020-08-12T12:00:00Z,94194007
AIL145,2020-08-24T13:30:00Z,94194098
AIL146,2020-08-24T14:15:00Z,94194096
AIL147,2020-08-24T11:45:00Z,94194094
AIL148,2020-08-24T15:30:00Z,94194095
AIL149,2020-08-24T15:45:00Z,94194093
AIL150,2020-08-24T16:15:00Z,94194091
AIL151,2020-08-04T10:30:00Z,94194186
AIL152,2020-08-12T14:15:00Z,94194008
AIL153,2020-08-12T11:45:00Z,94194006
AIL154,2020-08-12T11:30:00Z,94194003
AIL155,2020-08-25T10:00:00Z,94194054
AIL156,2020-08-24T14:30:00Z,94194071
AIL157,2020-08-24T15:00:00Z,94194074
AIL158,2020-08-24T15:30:00Z,94194075
AIL159,2020-08-25T08:30:00Z,94194077
AIL160,2020-08-25T17:30:00Z,94194073
AIL161,2020-08-12T08:00:00Z,94194198
AIL162,2020-08-12T08:30:00Z,94194195
AIL163,2020-08-12T10:00:00Z,94194004
AIL164,2020-08-25T10:30:00Z,94194055
AIL165,2020-08-25T10:15:00Z,94194060
AIL166,2020-08-25T09:30:00Z,94194058
AIL167,2020-08-25T09:15:00Z,94194076
AIL168,2020-08-25T16:15:00Z,94194052
AIL169,2020-08-25T15:30:00Z,94194053
AIL170,2020-08-25T17:00:00Z,94194072
AIL171,2020-08-12T09:15:00Z,94194005
AIL172,2020-08-12T08:45:00Z,94194001
AIL173,2020-08-25T11:15:00Z,94194051
AIL174,2020-08-25T10:45:00Z,94194059
AIL175,2020-08-25T12:30:00Z,94194050
AIL176,2020-08-25T13:15:00Z,94194046
AIL177,2020-08-25T13:45:00Z,94194080
AIL178,2020-08-25T15:00:00Z,94194057
AIL179,2020-08-29T12:00:00Z,94194020
AIL180,2020-08-29T11:30:00Z,94194056
AIL181,2020-08-15T09:15:00Z,94194040
AIL182,2020-08-15T10:00:00Z,94194035
AIL183,2020-08-15T12:30:00Z,94194034
AIL184,2020-08-15T13:30:00Z,94194036
AIL185,2020-08-29T14:30:00Z,94194033
AIL186,2020-08-29T13:30:00Z,94194011
AIL187,2020-08-25T14:00:00Z,94194078
AIL188,2020-08-29T09:45:00Z,94194016
AIL189,2020-08-29T12:30:00Z,94194018
AIL190,2020-08-29T11:15:00Z,94194019
AIL191,2020-08-15T08:45:00Z,94194039
AIL192,2020-08-15T11:00:00Z,94194038
AIL193,2020-08-15T11:45:00Z,94194037
AIL194,2020-08-15T14:00:00Z,94194032
AIL195,2020-08-29T14:45:00Z,94194012
AIL196,2020-08-29T13:45:00Z,94194031
AIL197,2020-08-29T13:15:00Z,94194015
AIL198,2020-08-29T13:00:00Z,94194013
AIL199,2020-08-29T10:00:00Z,94194014
AIL200,2020-08-29T10:30:00Z,94194017
MAL001,2020-08-19T12:00:00Z,94194081
MAL002,2020-08-19T12:30:00Z,94194083
MAL003,2020-08-19T13:45:00Z,94194042
MAL004,2020-08-18T14:30:00Z,94194117
MAL005,2020-08-18T14:45:00Z,94194119
MAL006,2020-08-18T15:15:00Z,94194120
MAL007,2020-08-18T07:45:00Z,94194118
MAL008,2020-08-06T12:15:00Z,94194108
MAL009,2020-08-06T11:45:00Z,94194106
MAL010,2020-08-06T11:00:00Z,94194105
MAL011,2020-08-19T11:45:00Z,94194085
MAL012,2020-08-19T13:15:00Z,94194082
MAL013,2020-08-19T14:30:00Z,94194088
MAL014,2020-08-19T14:30:00Z,94194090
MAL015,2020-08-18T09:45:00Z,94194061
MAL016,2020-08-18T09:30:00Z,94194067
MAL017,2020-08-18T08:30:00Z,94194063
MAL018,2020-08-06T13:00:00Z,94194107
MAL019,2020-08-06T09:45:00Z,94194104
MAL020,2020-08-06T07:30:00Z,94194103
MAL021,2020-08-19T10:30:00Z,94194084
MAL022,2020-08-19T09:30:00Z,94194089
MAL023,2020-08-18T14:00:00Z,94194068
MAL024,2020-08-18T12:45:00Z,94194069
MAL025,2020-08-18T10:00:00Z,94194070
MAL026,2020-08-18T10:45:00Z,94194066
MAL027,2020-08-05T10:15:00Z,94194147
MAL028,2020-08-05T10:00:00Z,94194110
MAL029,2020-08-06T08:30:00Z,94194102
MAL030,2020-08-06T06:45:00Z,94194101
MAL031,2020-08-19T09:45:00Z,94194086
MAL032,2020-08-19T08:30:00Z,94194079
MAL033,2020-08-18T13:30:00Z,94194065
MAL034,2020-08-18T12:30:00Z,94194064
MAL035,2020-08-18T11:45:00Z,94194062
MAL036,2020-08-07T14:30:00Z,94194150
MAL037,2020-08-05T10:45:00Z,94194151
MAL038,2020-08-05T11:30:00Z,94194155
MAL039,2020-08-05T12:00:00Z,94194121
MAL040,2020-08-05T12:30:00Z,94194134
MAL041,2020-08-07T08:45:00Z,94194144
MAL042,2020-08-07T12:00:00Z,94194142
MAL043,2020-08-07T13:00:00Z,94194145
