site,tomst_id
AE01,95256186
AE03,95256175
AE04,95256174
AE05,95256173
AE06,95256172
AE07,95256171
AE08,95256185
AE09,95256184
AE10,95256183
AE11,95256182
AE12,95256181
AIL101,94194171
AIL102,94194173
AIL103,94194172
AIL104,94194174
AIL106,94194049
AIL107,94194047
AIL109,94194029
AIL110,94194041
AIL111,94194184
AIL112,94194189
AIL113,94194187
AIL114,94194179
AIL115,94194175
AIL116,94194043
AIL117,94194045
AIL118,94194044
AIL119,94194026
AIL120,94194024
AIL121,94194182
AIL122,94194185
AIL123,94194180
AIL124,94194177
AIL125,94194178
AIL126,94194048
AIL127,94194022
AIL128,94194021
AIL129,94194023
AIL130,94194025
AIL131,94194183
AIL132,94194190
AIL133,94194010
AIL134,94194002
AIL135,94194092
AIL136,94194099
AIL137,94194100
AIL138,94194027
AIL139,94194030
AIL140,94194097
AIL141,94194181
AIL142,94194188
AIL143,94194009
AIL144,94194007
AIL145,94194098
AIL146,94194096
AIL147,94194094
AIL148,94194095
AIL149,94194093
AIL150,94194091
AIL151,94194186
AIL152,94194008
AIL153,94194006
AIL154,94194003
AIL155,94194054
AIL156,94194071
AIL157,94194074
AIL158,94194075
AIL159,94194077
AIL160,94194073
AIL161,94194198
AIL162,94194195
AIL163,94194004
AIL164,94194055
AIL165,94194060
AIL166,94194058
AIL167,94194076
AIL168,94194052
AIL169,94194053
AIL170,94194072
AIL171,94194005
AIL172,94194001
AIL173,94194051
AIL174,94194059
AIL175,94194050
AIL176,94194046
AIL177,94194080
AIL178,94194057
AIL179,94194020
AIL180,94194056
AIL181,94194040
AIL182,94194035
AIL183,94194034
AIL184,94194036
AIL185,94194033
AIL187,94194078
AIL188,94194016
AIL189,94194018
AIL190,94194019
AIL191,94194039
AIL192,94194038
AIL193,94194037
AIL194,94194032
AIL195,94194012
AIL196,94194031
AIL197,94194015
AIL198,94194013
AIL199,94194014
AIL200,94194017
MI11204,94181301
MI529,94181609
MI11208,94181621
MI805,94181622
MI1123,94181623
MI961,94181624
MI11219,94181626
MI607,94181627
MI685,94181628
MI247,94181629
RA066,94204788
RA068,94204802
RA064,94204803
RA063,94204804
RA015,94204805
MI1043,94217055
MI367,94212870
MI103,94181311
MI1057,94181319
MI19,94181317
MI259,94181316
MI343,94181308
MI422,94181315
MI583,94213503
X06,94217004
X07,94212872
X08,94213526
X09,94217042
X10,94212883
X11,94212884
X12,94213529
X13,94217009
X14,94212854
MI11229,94181304
MI11226,94181305
MI11228,94181306
MI11227,94181307
MI11230,94181309
MI11232,94181614
MI11216,94181616
MI11233,94181618
MI1105,94181620
MI697,94204722
MI895,94214997
MI11231,94217016
X22,94212867
X23,94213501
X25,94212866
X26,94217029
X36,94217054
X38,94217065
X39,94217073
X40,94217044
MI747,94181302
MI667,94181303
MI235,94181310
MI511,94181312
MI553,94181313
MI547,94181314
MI151,94181318
MI475,94181320
MI907,94181601
MI757,94181604
MI799,94181606
MI949,94181608
MI1069,94181610
MI11225,94181615
MI1117,94181619
MI1195,94214996
MI751,94217018
X01,94213542
X04,94213530
X05,94212853
L22,94212861
L20,94212862
L23,94212864
L19,94212865
L5,94213506
L6,94213508
L7,94213509
L18,94213517
L16,94213518
L13,94213520
L10,94213531
L9,94213532
L15,94217022
L11,94217045
L12,94217052
L14,94212881
L24,94200022
L25,94200023
RA009,94204717
RA069,94204791
L21,94212863
L1,94213535
RA045,94204701
RA054,94204702
RA052,94204703
RA046,94204704
RA047,94204705
RA049,94204706
RA048,94204707
RA053,94204708
RA051,94204709
RA050,94204710
RA070,94204795
L2,94213534
L34,94217072
L26,94213507
L27,94213519
L28,94213539
L29,94217062
L30,94213541
L31,94217043
L32,94217070
L33,94212874
L35,94217049
MAL001,94194081
MAL002,94194083
MAL003,94194042
MAL004,94194117
MAL005,94194119
MAL006,94194120
MAL007,94194118
MAL008,94194108
MAL009,94194106
MAL010,94194105
MAL011,94194085
MAL012,94194082
MAL013,94194088
MAL014,94194090
MAL015,94194061
MAL016,94194067
MAL017,94194063
MAL018,94194107
MAL019,94194104
MAL020,94194103
MAL021,94194084
MAL022,94194089
MAL023,94194068
MAL024,94194069
MAL025,94194070
MAL026,94194066
MAL027,94194147
MAL028,94194110
MAL029,94194102
MAL030,94194101
MAL031,94194086
MAL032,94194079
MAL033,94194065
MAL034,94194064
MAL035,94194062
MAL037,94194151
MAL038,94194155
MAL039,94194121
MAL040,94194134
MAL041,94194144
MAL043,94194145
MAL044,94194138
MAL045,94194149
MAL046,94194132
MAL047,94194136
MAL048,94194122
MAL049,94194123
MAL050,94194146
MAL051,94194143
MAL053,94194194
MAL054,94194139
MAL055,94194137
MAL056,94194140
MAL057,94194126
MAL058,94194127
MAL059,94194124
MAL060,94194141
MAL061,94194191
MAL062,94194200
MAL063,94194131
MAL064,94194133
MAL065,94194158
MAL066,94194159
MAL067,94194128
MAL068,94194125
MAL070,94194109
MAL071,94194196
MAL072,94194197
MAL074,94194152
MAL075,94194154
MAL076,94194114
MAL077,94194112
MAL078,94194129
MAL079,94194130
MAL080,94194148
MAL081,94194192
MAL082,94194193
MAL083,94194160
MAL084,94194113
MAL085,94194168
MAL086,94194167
MAL087,94194115
MAL088,94194116
MAL089,94194165
MAL090,94194161
MAL091,94194153
MAL094,94194111
MAL095,94194166
MAL097,94194162
MAL098,94194163
MAL099,94194169
MAL100,94194164
MAL201,94194142
MI11214,94181617
RA003,94204720
RA011,94204719
RA013,94204785
RA016,94204786
RA021,94204731
RA022,94204734
RA025,94204732
RA027,94204748
RA028,94204740
RA029,94204739
RA030,94204736
RA034,94204711
RA035,94204713
RA036,94204712
RA039,94204761
RA040,94204762
RA041,94204723
RA055,94204784
RA057,94204780
RA058,94204776
RA071,94204792
RA074,94204787
RA075,94204794
RA076,94204798
RA078,94204797
RA079,94204800
RA081,94204750
RA083,94204746
RA085,94204727
RA087,94204730
RA089,94204726
RA310,94204743
RA093,94204742
RA094,94204745
RA095,94204737
RA101,94204733
RA300,94204779
RA301,94204781
RA302,94204783
RA303,94204749
RA304,94204728
RA305,94204735
RA308,94204729
RA309,94204744
RA311,94204741
RA312,94204724
RA313,94204764
RA314,94204721
RA315,94204718
RA316,94204765
RA317,94204763
RA318,94204714
RA319,94204801
RA320,94204799
RA321,94204716
RA322,94204715
RA323,94204738
SAL007,95256189
SAL008,95256190
SAL009,95256165
SAL018,95256151
SAL019,95256160
SAL020,95256159
SAL021,95256158
SAL023,95256157
SAL024,95256156
SAL025,95256198
SAL026,95256200
SE01,95256195
SE02,95256194
SE03,95256193
SE04,95256192
SE05,95256191
SE06,95256180
SE07,95256179
SE08,95256178
SE09,95256177
SE10,95256176
SE11,95256196
SE12,95256197
X15,94217053
X16,94217027
X17,94213537
X18,94217059
X19,94213505
X2,94212860
X20,94217080
X21,94217030
X27,94217074
X28,94212879
X29,94217076
X30,94212878
