site,tomst_id,start_date,end_date,probl
MAT003,94217069,2021-04-01,2021-10-13,2
MAT004,94212887,2021-04-01,2021-10-13,2
MAT005,94217066,2021-04-01,2021-10-13,2
MAT006,94217060,2021-04-01,2021-10-13,2
MAT007,94217057,2021-04-01,2021-10-13,2
MAT008,94217014,2021-04-01,2021-10-13,2
MAT009,94217002,2021-04-01,2021-10-13,2
MAT009,94217002,2022-08-09,2023-07-30,1
MAT010,94213522,2021-04-01,2021-10-13,2
MAT010,94213522,2021-10-18,2023-08-01,1
MAT011,94213550,2021-04-01,2021-10-12,2
MAT012,94217012,2021-04-01,2021-10-13,2
MAT013,94213511,2021-04-01,2021-10-13,2
MAT014,94217039,2021-04-01,2021-10-13,2
MAT015,94217017,2021-04-01,2021-10-13,2
MAT016,94217079,2021-04-01,2021-10-13,2
MAT017,94217077,2021-04-01,2021-10-13,2
MAT018,94217011,2021-04-01,2021-10-13,2
MAT019,94217023,2021-04-01,2021-10-13,2
MAT022,94212893,2021-04-01,2021-10-13,2
MAT023,94213546,2021-04-01,2021-10-13,2
MAT024,94213521,2021-04-01,2021-10-13,2
MAT025,94217026,2021-04-01,2021-10-13,2
MAT026,94217005,2021-04-01,2021-10-13,2
MAT027,94217046,2021-04-01,2021-10-13,2
MAT028,94217050,2021-04-01,2021-10-13,2
MAT030,94217038,2021-04-01,2021-10-13,2
MAT031,94212892,2021-04-01,2021-10-13,2
MAT032,94213525,2021-04-01,2021-10-12,2
MAT033,94217034,2021-04-01,2021-10-12,2
MAT035,94213515,2021-04-01,2021-10-12,2
MAT036,94212888,2021-04-01,2021-10-13,2
MAT037,94213512,2021-04-01,2021-10-12,2
MAT037,94213512,2022-09-16,2023-07-31,1
MAT038,94213523,2021-04-01,2021-10-12,2
MAT039,94217024,2021-04-01,2021-10-12,2
MAT040,94212886,2021-04-01,2021-10-12,2
MAT041,94217013,2021-04-01,2021-10-12,2
MAT043,94217078,2021-04-01,2021-10-12,2
MAT044,94217003,2021-04-01,2021-10-12,2
MAT045,94213548,2021-04-01,2021-10-12,2
MAT046,94212894,2021-04-01,2021-10-12,2
MAT047,94217008,2021-04-01,2021-10-12,2
MAT049,94212895,2021-04-01,2021-10-12,2
MAT050,94217067,2021-04-01,2021-10-12,2
