site,tomst_id,maxdt
MAT003,94217069,2000-01-01T00:00:00Z
MAT004,94212887,2000-01-01T00:00:00Z
MAT005,94217066,2000-01-01T00:00:00Z
MAT006,94217060,2000-01-01T00:00:00Z
MAT007,94217057,2000-01-01T00:00:00Z
MAT008,94217014,2000-01-01T00:00:00Z
MAT009,94217002,2000-01-01T00:00:00Z
MAT010,94213522,2000-01-01T00:00:00Z
MAT011,94213550,2000-01-01T00:00:00Z
MAT012,94217012,2000-01-01T00:00:00Z
MAT013,94213511,2000-01-01T00:00:00Z
MAT014,94217039,2000-01-01T00:00:00Z
MAT015,94217017,2000-01-01T00:00:00Z
MAT016,94217079,2000-01-01T00:00:00Z
MAT017,94217077,2000-01-01T00:00:00Z
MAT018,94217011,2000-01-01T00:00:00Z
MAT019,94217023,2000-01-01T00:00:00Z
MAT022,94212893,2000-01-01T00:00:00Z
MAT023,94213546,2000-01-01T00:00:00Z
MAT024,94213521,2000-01-01T00:00:00Z
MAT025,94217026,2000-01-01T00:00:00Z
MAT026,94217005,2000-01-01T00:00:00Z
MAT027,94217046,2000-01-01T00:00:00Z
MAT028,94217050,2000-01-01T00:00:00Z
MAT030,94217038,2000-01-01T00:00:00Z
MAT031,94212892,2000-01-01T00:00:00Z
MAT032,94213525,2000-01-01T00:00:00Z
MAT033,94217034,2000-01-01T00:00:00Z
MAT035,94213515,2000-01-01T00:00:00Z
MAT036,94212888,2000-01-01T00:00:00Z
MAT037,94213512,2000-01-01T00:00:00Z
MAT038,94213523,2000-01-01T00:00:00Z
MAT039,94217024,2000-01-01T00:00:00Z
MAT040,94212886,2000-01-01T00:00:00Z
MAT041,94217013,2000-01-01T00:00:00Z
MAT043,94217078,2000-01-01T00:00:00Z
MAT044,94217003,2000-01-01T00:00:00Z
MAT045,94213548,2000-01-01T00:00:00Z
MAT046,94212894,2000-01-01T00:00:00Z
MAT047,94217008,2000-01-01T00:00:00Z
MAT049,94212895,2000-01-01T00:00:00Z
MAT050,94217067,2000-01-01T00:00:00Z
MAT003,94217069,2023-07-30T19:15:00Z
MAT004,94212887,2023-07-30T18:00:00Z
MAT005,94217066,2023-07-30T16:15:00Z
MAT006,94217060,2023-07-30T16:00:00Z
MAT007,94217057,2023-07-30T15:45:00Z
MAT008,94217014,2023-07-30T17:15:00Z
MAT009,94217002,2023-07-30T17:30:00Z
MAT010,94213522,2023-08-01T08:30:00Z
MAT011,94213550,2023-08-01T09:45:00Z
MAT012,94217012,2023-07-31T19:15:00Z
MAT013,94213511,2023-07-31T18:30:00Z
MAT014,94217039,2023-07-31T18:00:00Z
MAT015,94217017,2023-07-31T17:15:00Z
MAT016,94217079,2023-07-31T16:00:00Z
MAT017,94217077,2023-07-31T16:45:00Z
MAT018,94217011,2023-07-31T18:45:00Z
MAT019,94217023,2023-07-31T18:15:00Z
MAT022,94212893,2023-07-31T16:30:00Z
MAT023,94213546,2023-07-31T16:15:00Z
MAT024,94213521,2023-07-31T15:30:00Z
MAT025,94217026,2023-07-31T15:15:00Z
MAT026,94217005,2023-07-31T14:45:00Z
MAT027,94217046,2023-07-31T10:45:00Z
MAT028,94217050,2023-07-31T12:30:00Z
MAT030,94217038,2023-07-31T13:15:00Z
MAT031,94212892,2023-07-31T12:45:00Z
MAT032,94213525,2023-07-31T12:30:00Z
MAT033,94217034,2023-07-31T12:00:00Z
MAT035,94213515,2023-07-31T10:45:00Z
MAT036,94212888,2023-07-31T13:00:00Z
MAT037,94213512,2023-07-31T13:30:00Z
MAT038,94213523,2023-08-01T09:00:00Z
MAT039,94217024,2023-08-01T09:45:00Z
MAT040,94212886,2023-08-01T08:00:00Z
MAT041,94217013,2023-07-30T17:30:00Z
MAT043,94217078,2023-07-30T19:30:00Z
MAT044,94217003,2023-08-01T09:45:00Z
MAT045,94213548,2023-08-01T09:30:00Z
MAT046,94212894,2023-08-01T09:30:00Z
MAT047,94217008,2023-08-01T09:00:00Z
MAT049,94212895,2023-07-31T15:15:00Z
MAT050,94217067,2023-07-31T14:45:00Z
