site,tomst_id,start_date,end_date,probl
PAL001,94214264,2021-05-17,2022-06-07,2
PAL002,94214334,2021-05-17,2022-06-07,2
PAL003,94214262,2021-05-17,2022-06-07,2
PAL004,94214166,2021-05-17,2022-06-07,2
PAL004,94214166,2022-06-08,2023-08-14,3
PAL005,95223086,2021-05-17,2022-10-12,2
PAL006,94214333,2021-05-17,2022-06-07,2
PAL007,94214152,2021-05-17,2022-06-08,2
PAL008,94214154,2021-05-17,2022-06-08,2
PAL009,94214255,2021-05-17,2022-06-08,2
PAL010,94214342,2021-05-17,2022-06-08,2
PAL011,94214172,2021-05-17,2022-06-08,2
PAL012,94214153,2021-05-17,2022-06-08,2
PAL013,94214344,2021-05-17,2022-06-08,2
PAL014,94214151,2021-05-17,2022-06-08,2
PAL015,94214331,2021-05-17,2022-06-08,2
PAL016,94214332,2021-05-17,2022-06-08,2
PAL017,94214252,2021-05-17,2022-06-08,2
PAL018,94214171,2021-05-17,2022-06-08,2
PAL019,94214155,2021-05-17,2022-06-08,2
PAL020,94214265,2021-05-17,2022-06-08,2
PAL021,94214173,2021-05-17,2022-06-07,2
PAL022,94214343,2021-05-17,2022-06-07,2
PAL023,94214192,2021-05-17,2022-06-07,2
PAL024,94214338,2021-05-17,2022-06-16,2
PAL025,94214303,2021-05-17,2022-06-14,2
PAL026,94214257,2021-05-17,2022-06-03,2
PAL027,94214195,2021-05-17,2022-06-03,2
PAL028,94214194,2021-05-17,2022-06-03,2
PAL028,94214194,2022-06-04,2023-07-14,3
PAL029,94214256,2021-05-17,2022-06-03,2
PAL030,94214193,2021-05-17,2022-06-03,2
PAL031,94214191,2021-05-17,2022-06-03,2
PAL032,94214263,2021-05-17,2022-06-04,2
PAL033,94214335,2021-05-17,2022-06-04,2
PAL034,94214261,2021-05-17,2022-06-04,2
PAL035,94214169,2021-05-17,2022-06-04,2
PAL035,94214169,2022-06-05,2023-07-02,3
PAL036,94214170,2021-05-17,2022-06-04,2
PAL036,94214170,2022-07-21,2023-07-02,1
PAL037,94214168,2021-05-17,2022-06-04,2
PAL038,94214312,2021-05-17,2022-06-14,2
PAL039,94214340,2021-05-17,2022-06-14,2
PAL040,94214339,2021-05-17,2022-06-14,2
PAL041,94214329,2021-05-17,2022-06-14,2
PAL042,94214327,2021-05-17,2022-06-14,2
PAL043,94214326,2021-05-17,2022-06-14,2
PAL044,94214309,2021-05-17,2022-06-15,2
PAL045,94234694,2021-05-17,2022-06-15,2
PAL046,94214313,2021-05-17,2022-06-15,2
PAL047,94214330,2021-05-17,2022-06-15,2
PAL048,94214311,2021-05-17,2022-06-15,2
PAL049,94214314,2021-05-17,2022-06-15,2
PAL049,94214314,2023-08-15,2023-08-18,1
PAL050,94214237,2021-05-17,2022-06-11,2
PAL051,94214341,2021-05-17,2022-06-11,2
PAL052,94214266,2021-05-17,2022-06-11,2
PAL053,94214345,2021-05-17,2022-06-11,2
PAL054,94214328,2021-05-17,2022-06-14,2
PAL055,94214272,2021-05-17,2022-06-05,2
PAL056,94214275,2021-05-17,2022-06-05,2
PAL057,94214285,2021-05-17,2022-06-05,2
PAL058,94214282,2021-05-17,2022-06-05,2
PAL059,94214273,2021-05-17,2022-06-05,2
PAL060,94214284,2021-05-17,2022-06-05,2
PAL061,94214274,2021-05-17,2022-06-05,2
PAL062,94214283,2021-05-17,2022-06-05,2
PAL063,94214271,2021-05-17,2022-06-05,2
PAL064,94214281,2021-05-17,2022-06-05,2
PAL065,94214175,2021-05-17,2022-06-07,2
PAL066,94214251,2021-05-17,2022-06-07,2
PAL067,94214176,2021-05-17,2022-06-10,2
PAL068,94214178,2021-05-17,2022-06-10,2
PAL069,94214180,2021-05-17,2022-06-10,2
PAL070,94214236,2021-05-17,2022-06-10,2
PAL070,94214236,2022-06-11,2023-07-27,3
PAL071,94214179,2021-05-17,2022-06-10,2
PAL071,94214179,2022-06-11,2023-08-13,3
PAL072,94214174,2021-05-17,2022-06-10,2
PAL073,94214238,2021-05-17,2022-06-10,2
PAL074,94214177,2021-05-17,2022-06-10,2
PAL074,94214177,2022-06-11,2023-07-27,3
PAL075,94214253,2021-05-17,2022-06-10,2
PAL075,94214253,2022-06-11,2023-08-14,3
PAL076,94214239,2021-05-17,2022-06-10,2
PAL077,94214240,2021-05-17,2022-06-10,2
PAL078,94214254,2021-05-17,2022-06-10,2
PAL079,94214267,2021-05-17,2022-06-11,2
PAL080,94214268,2021-05-17,2022-06-11,2
PAL081,94214270,2021-05-17,2022-06-11,2
PAL082,94214269,2021-05-17,2022-06-11,2
PAL083,94214301,2021-05-17,2022-06-13,2
PAL084,94214307,2021-05-17,2022-06-13,2
PAL085,94214336,2021-05-17,2022-06-13,2
PAL086,94214337,2021-05-17,2022-06-13,2
PAL087,94214302,2021-05-17,2022-06-13,2
PAL088,94214305,2021-05-17,2022-06-13,2
PAL089,94214308,2021-05-17,2022-06-13,2
PAL090,94214315,2021-05-17,2022-06-16,2
PAL091,95253601,2021-05-17,2023-06-11,2
PAL092,95253602,2021-05-17,2023-06-13,2
PAL093,95253603,2021-05-17,2023-06-13,2
PAL094,95253604,2021-05-17,2023-06-13,2
PAL095,95253605,2021-05-17,2023-06-13,2
PAL096,95253606,2021-05-17,2023-06-13,2
PAL097,95253607,2021-05-17,2023-06-13,2
PAL098,95253608,2021-05-17,2023-06-13,2
PAL099,95253609,2021-05-17,2023-06-13,2
PAL100,95253610,2021-05-17,2023-06-13,2
PAL101,95253611,2021-05-17,2023-06-13,2
PAL102,95253612,2021-05-17,2023-06-13,2
PAL103,95253613,2021-05-17,2023-06-13,2
PAL104,95253614,2021-05-17,2023-06-13,2
PAL105,95253615,2021-05-17,2023-06-14,2
PAL106,95253616,2021-05-17,2023-06-14,2
PAL107,95253617,2021-05-17,2023-06-14,2
PAL108,95253569,2021-05-17,2023-06-13,2
PAL109,95253570,2021-05-17,2023-06-13,2
PAL110,95253618,2021-05-17,2023-06-13,2
PAL111,95253619,2021-05-17,2023-06-13,2
PAL112,95253620,2021-05-17,2023-06-13,2
PAL113,95253621,2021-05-17,2023-06-15,2
PAL114,95253622,2021-05-17,2023-06-15,2
PAL115,95253623,2021-05-17,2023-06-15,2
PAL116,95253624,2021-05-17,2023-06-15,2
PAL117,95253625,2021-05-17,2023-06-15,2
PAL118,95253565,2021-05-17,2023-06-13,2
PAL119,95253566,2021-05-17,2023-06-13,2
PAL120,95253567,2021-05-17,2023-06-13,2
PAL121,95253568,2021-05-17,2023-06-11,2
PAL122,95253626,2021-05-17,2023-06-11,2
PAL122,95253626,2023-08-02,2023-08-12,1
PAL123,95253627,2021-05-17,2023-06-11,2
PAL124,95253628,2021-05-17,2023-06-11,2
PAL125,95253629,2021-05-17,2023-06-11,2
PAL125,95253629,2023-06-12,2023-08-11,3
PAL126,95253630,2021-05-17,2023-06-11,2
PAL127,95253631,2021-05-17,2023-06-11,2
PAL128,95253632,2021-05-17,2023-06-11,2
PAL129,95253633,2021-05-17,2023-06-11,2
PAL130,95253634,2021-05-17,2023-06-11,2
PAL130,95253634,2023-06-12,2023-08-11,3
PAL131,95253635,2021-05-17,2023-06-11,2
PAL132,95253646,2021-05-17,2023-06-12,2
PAL133,95253647,2021-05-17,2023-06-12,2
PAL134,95253648,2021-05-17,2023-06-12,2
PAL135,95253649,2021-05-17,2023-06-12,2
PAL136,95253650,2021-05-17,2023-06-12,2
PAL137,95253641,2021-05-17,2023-06-12,2
PAL138,95253642,2021-05-17,2023-06-12,2
PAL139,95253643,2021-05-17,2023-06-12,2
PAL140,95253644,2021-05-17,2023-06-12,2
PAL140,95253644,2023-06-13,2023-08-11,3
PAL141,95253645,2021-05-17,2023-06-12,2
PAL142,95253551,2021-05-17,2023-06-12,2
PAL142,95253551,2023-06-13,2023-08-14,3
PAL143,95253552,2021-05-17,2023-06-12,2
PAL144,95253553,2021-05-17,2023-06-12,2
PAL145,95253554,2021-05-17,2023-06-12,2
PAL146,95253555,2021-05-17,2023-06-12,2
PAL147,95253556,2021-05-17,2023-06-12,2
PAL148,95253557,2021-05-17,2023-06-12,2
PAL149,95253558,2021-05-17,2023-06-12,2
PAL150,95253559,2021-05-17,2023-06-12,2
PAL150,95253559,2023-08-15,2023-08-18,2
PAL151,95253560,2021-05-17,2023-06-11,2
PAL152,95253561,2021-05-17,2023-06-11,2
PAL153,95253562,2021-05-17,2023-06-11,2
PAL154,95253563,2021-05-17,2023-06-11,2
PAL154,95253563,2023-06-12,2023-08-14,3
PAL155,95253564,2021-05-17,2023-06-11,2
PAL156,95253636,2021-05-17,2023-06-11,2
PAL157,95253637,2021-05-17,2023-06-11,2
PAL157,95253637,2023-06-12,2023-07-27,3
PAL158,95253638,2021-05-17,2023-06-11,2
PAL159,95253639,2021-05-17,2023-06-11,2
PAL160,95253640,2021-05-17,2023-06-11,2
PAL161,95253546,2021-05-17,2023-06-13,2
PAL162,95253547,2021-05-17,2023-06-13,2
PAL163,95253548,2021-05-17,2023-06-13,2
PAL164,95253549,2021-05-17,2023-06-13,2
PAL165,95253550,2021-05-17,2023-06-13,2
PAL166,95253501,2021-05-17,2023-06-13,2
PAL167,95253502,2021-05-17,2023-06-13,2
PAL168,95253503,2021-05-17,2023-06-13,2
PAL169,95253504,2021-05-17,2023-06-13,2
PAL170,95253505,2021-05-17,2023-06-13,2
PAL171,95253506,2021-05-17,2023-06-13,2
PAL172,95253507,2021-05-17,2023-06-13,2
PAL173,95253508,2021-05-17,2023-06-13,2
PAL174,95253509,2021-05-17,2023-06-13,2
PAL175,95253510,2021-05-17,2023-06-13,2
PAL176,95253511,2021-05-17,2023-06-13,2
PAL177,95253512,2021-05-17,2023-06-13,2
PAL178,95253513,2021-05-17,2023-06-13,2
PAL179,95253514,2021-05-17,2023-06-13,2
PAL180,95253515,2021-05-17,2023-06-13,2
PAL181,95253516,2021-05-17,2023-06-13,2
PAL182,95253517,2021-05-17,2023-06-13,2
PAL183,95253518,2021-05-17,2023-06-13,2
PAL184,95253519,2021-05-17,2023-06-13,2
PAL185,95253520,2021-05-17,2023-06-13,2
PAL186,95253521,2021-05-17,2023-06-14,2
PAL186,95253521,2023-06-15,2023-08-16,3
PAL187,95253522,2021-05-17,2023-06-14,2
PAL187,95253522,2023-06-15,2023-08-16,3
PAL188,95253523,2021-05-17,2023-06-14,2
PAL189,95253524,2021-05-17,2023-06-14,2
PAL190,95253525,2021-05-17,2023-06-14,2
PAL191,95253651,2021-05-17,2023-06-14,2
PAL191,95253651,2023-06-15,2023-08-16,3
PAL192,95253652,2021-05-17,2023-06-14,2
PAL193,95253653,2021-05-17,2023-06-14,2
PAL043,94214326,2022-06-15,2023-08-13,6
PAL044,94214309,2022-06-16,2023-08-17,8
PAL084,94214307,2022-06-14,2023-08-17,8
PAL089,94214308,2022-06-14,2023-08-17,8
PAL124,95253628,2023-07-31,2023-08-12,6
