site,tomst_id,start_date,end_date,probl
RAS001,94184805,2018-12-06,2019-06-30,2
RAS001,94184805,2020-05-28,2020-08-01,1
RAS001,94184805,2022-07-21,2022-08-02,1
RAS003,94184803,2018-12-06,2019-06-30,2
RAS008,94184801,2018-12-06,2019-06-30,2
RAS008,94184801,2020-07-21,2020-08-01,1
RAS011,94184855,2018-12-06,2019-06-30,2
RAS012,94184856,2018-12-06,2019-06-30,2
RAS015,94194307,2019-06-10,2019-07-14,2
RAS017,94194303,2019-06-10,2019-07-14,2
RAS022,94194310,2019-06-10,2019-07-12,2
RAS025,94184809,2018-12-06,2019-06-29,2
RAS027,94194305,2019-06-10,2019-07-12,2
RAS029,94184842,2018-12-06,2019-06-29,2
RAS029,94184842,2021-09-09,2022-08-03,1
RAS031,94184841,2018-12-06,2019-06-29,2
RAS036,94194308,2019-06-10,2019-07-14,2
RAS040,94184854,2018-12-06,2019-06-30,2
RAS040,94184854,2022-07-21,2022-08-02,1
RAS042,94184860,2018-12-06,2019-06-30,2
RAS044,94184853,2018-12-06,2019-06-30,2
RAS046,94184857,2018-12-06,2019-06-30,2
RAS050,94184806,2018-12-06,2019-06-30,2
RAS052,94184802,2018-12-06,2019-06-30,2
RAS056,94184804,2018-12-06,2019-06-30,2
RAS056,94184804,2019-09-12,2020-08-01,1
RAS060,94184807,2018-12-06,2019-06-30,2
RAS063,94184858,2018-12-06,2019-06-30,2
RAS064,94184851,2018-12-06,2019-06-30,2
RAS065,94184859,2018-12-06,2019-06-30,2
RAS066,94194301,2019-06-10,2019-06-30,2
RAS068,94194306,2019-06-10,2019-06-30,2
RAS070,94194302,2019-06-10,2019-06-30,2
RAS070,94194302,2020-05-28,2020-08-02,3
RAS071,94184843,2018-12-06,2019-06-29,2
RAS071,94184843,2019-09-13,2020-08-02,1
RAS073,94184844,2018-12-06,2019-06-29,2
RAS073,94184844,2019-10-01,2020-08-02,3
RAS077,94184846,2018-12-06,2019-06-29,2
RAS077,94184846,2021-08-01,2021-08-02,1
RAS079,94194309,2019-06-10,2019-06-30,2
RAS083,94194289,2019-06-10,2019-07-01,2
RAS083,94194289,2022-05-31,2022-08-02,9
RAS088,94184808,2018-12-06,2019-06-30,2
RAS088,94184808,2021-06-29,2021-08-01,3
RAS092,94184810,2018-12-06,2019-06-30,2
RAS092,94184810,2021-06-16,2021-08-01,10
RAS095,94194281,2019-06-10,2019-06-30,2
RAS095,94194281,2022-07-15,2022-08-01,1
RAS097,94194284,2019-06-10,2019-06-30,2
RAS098,94194283,2019-06-10,2019-06-30,2
RAS098,94194283,2021-06-25,2021-08-01,3
RAS099,94194282,2019-06-10,2019-06-30,2
RAS102,94194285,2019-06-10,2019-07-01,2
RAS104,94194288,2019-06-10,2019-07-01,2
RAS107,94184847,2018-12-06,2019-06-29,2
RAS109,94184845,2018-12-06,2019-06-29,2
RAS110,94184848,2018-12-06,2019-06-29,2
RAS110,94184848,2020-06-24,2020-07-28,1
RAS113,94184850,2018-12-06,2019-06-29,2
RAS116,94184849,2018-12-06,2019-06-29,2
RAS118,94194304,2019-06-10,2019-07-01,2
RAS118,94194304,2021-10-03,2022-08-02,1
RAS121,94194290,2019-06-10,2019-07-01,2
RAS123,94194286,2019-06-10,2019-07-01,2
RAS125,94194287,2019-06-10,2019-07-01,2
RAS027,94194305,2023-07-26,2023-07-28,1
RAS029,94184842,2022-08-19,2023-07-28,1
RAS040,94184854,2022-09-15,2023-07-28,1
RAS042,94184860,2022-08-25,2023-07-28,1
RAS046,94184857,2022-10-02,2023-07-28,1
RAS095,94194281,2022-08-24,2023-07-28,1
