site,maxdt,tomst_id
RAS001,2020-08-01T08:30:00Z,94184805
RAS003,2020-08-01T08:45:00Z,94184803
RAS008,2020-08-01T09:00:00Z,94184801
RAS011,2020-08-01T10:15:00Z,94184855
RAS015,2020-08-02T11:00:00Z,94194307
RAS017,2020-08-02T11:00:00Z,94194303
RAS022,2020-08-02T09:15:00Z,94194310
RAS025,2020-08-02T09:45:00Z,94184809
RAS027,2020-08-02T08:45:00Z,94194305
RAS029,2020-08-02T08:30:00Z,94184842
RAS031,2020-08-02T10:00:00Z,94184841
RAS036,2020-08-02T10:00:00Z,94194308
RAS040,2020-08-02T11:30:00Z,94184854
RAS042,2020-08-01T11:45:00Z,94184860
RAS044,2020-08-01T11:00:00Z,94184853
RAS046,2020-08-01T10:00:00Z,94184857
RAS050,2020-08-01T09:30:00Z,94184806
RAS052,2020-08-01T09:45:00Z,94184802
RAS056,2020-08-01T12:15:00Z,94184804
RAS060,2020-08-01T12:45:00Z,94184807
RAS063,2020-08-01T13:00:00Z,94184858
RAS064,2020-08-01T13:15:00Z,94184851
RAS065,2020-08-01T13:45:00Z,94184859
RAS066,2020-08-02T12:00:00Z,94194301
RAS068,2020-08-02T11:45:00Z,94194306
RAS070,2020-08-02T12:00:00Z,94194302
RAS071,2020-08-02T08:15:00Z,94184843
RAS073,2020-08-02T07:45:00Z,94184844
RAS077,2020-08-02T07:30:00Z,94184846
RAS079,2020-07-31T16:45:00Z,94194309
RAS083,2020-07-31T16:15:00Z,94194289
RAS088,2020-08-01T13:45:00Z,94184808
RAS092,2020-08-01T12:30:00Z,94184810
RAS095,2020-08-01T14:00:00Z,94194281
RAS097,2020-07-31T15:45:00Z,94194284
RAS098,2020-07-31T16:00:00Z,94194283
RAS099,2020-08-01T14:45:00Z,94194282
RAS102,2020-08-01T14:45:00Z,94194285
RAS104,2020-08-02T13:00:00Z,94194288
RAS107,2020-08-02T13:45:00Z,94184847
RAS109,2020-08-02T13:15:00Z,94184845
RAS110,2020-07-28T13:00:00Z,94184848
RAS113,2020-08-02T14:00:00Z,94184850
RAS116,2020-08-02T14:15:00Z,94184849
RAS118,2020-08-01T14:45:00Z,94194304
RAS121,2020-07-31T15:00:00Z,94194290
RAS123,2020-07-31T15:30:00Z,94194286
RAS125,2020-07-31T15:15:00Z,94194287
RAS001,2021-08-02T09:45:00Z,94184805
RAS003,2021-08-02T10:15:00Z,94184803
RAS008,2021-08-02T10:30:00Z,94184801
RAS011,2021-08-02T12:15:00Z,94184855
RAS012,2021-08-02T12:15:00Z,94184856
RAS015,2021-08-02T14:00:00Z,94194307
RAS017,2021-08-02T14:30:00Z,94194303
RAS022,2021-08-02T11:00:00Z,94194310
RAS025,2021-08-02T10:45:00Z,94184809
RAS027,2021-08-02T12:30:00Z,94194305
RAS029,2021-08-02T09:45:00Z,94184842
RAS031,2021-08-02T10:30:00Z,94184841
RAS036,2021-08-02T13:30:00Z,94194308
RAS040,2021-08-02T15:30:00Z,94184854
RAS042,2021-08-02T13:00:00Z,94184860
RAS044,2021-08-02T12:45:00Z,94184853
RAS046,2021-08-02T11:15:00Z,94184857
RAS050,2021-08-02T10:45:00Z,94184806
RAS052,2021-08-02T11:15:00Z,94184802
RAS056,2021-08-02T13:30:00Z,94184804
RAS060,2021-08-02T14:00:00Z,94184807
RAS063,2021-08-02T14:30:00Z,94184858
RAS064,2021-08-02T14:30:00Z,94184851
RAS065,2021-08-02T14:45:00Z,94184859
RAS066,2021-08-02T16:15:00Z,94194301
RAS070,2021-08-02T16:00:00Z,94194302
RAS071,2021-08-02T09:45:00Z,94184843
RAS073,2021-08-02T09:15:00Z,94184844
RAS077,2021-08-02T17:15:00Z,94184846
RAS079,2021-08-02T16:45:00Z,94194309
RAS083,2021-08-02T15:15:00Z,94194289
RAS088,2021-08-02T08:30:00Z,94184808
RAS092,2021-08-02T13:45:00Z,94184810
RAS095,2021-08-02T15:45:00Z,94194281
RAS097,2021-08-02T16:00:00Z,94194284
RAS098,2021-08-02T15:15:00Z,94194283
RAS099,2021-08-02T08:30:00Z,94194282
RAS102,2021-08-02T17:45:00Z,94194285
RAS104,2021-08-02T17:30:00Z,94194288
RAS107,2021-08-02T17:45:00Z,94184847
RAS109,2021-08-02T18:15:00Z,94184845
RAS113,2021-08-02T17:30:00Z,94184850
RAS116,2021-08-02T17:30:00Z,94184849
RAS118,2021-08-02T07:45:00Z,94194304
RAS121,2021-08-02T16:45:00Z,94194290
RAS123,2021-08-02T16:15:00Z,94194286
RAS125,2021-08-02T16:15:00Z,94194287
RAS001,2022-08-02T09:00:00Z,94184805
RAS003,2022-08-02T09:30:00Z,94184803
RAS008,2022-08-02T10:00:00Z,94184801
RAS011,2022-08-02T10:15:00Z,94184855
RAS012,2022-08-02T11:30:00Z,94184856
RAS015,2022-08-03T10:15:00Z,94194307
RAS017,2022-08-03T10:00:00Z,94194303
RAS022,2022-08-03T08:30:00Z,94194310
RAS025,2022-08-03T08:30:00Z,94184809
RAS027,2022-08-03T09:00:00Z,94194305
RAS029,2022-08-03T07:45:00Z,94184842
RAS031,2022-08-03T08:15:00Z,94184841
RAS036,2022-08-03T10:00:00Z,94194308
RAS040,2022-08-02T14:45:00Z,94184854
RAS042,2022-08-02T12:15:00Z,94184860
RAS044,2022-08-02T12:00:00Z,94184853
RAS046,2022-08-02T10:00:00Z,94184857
RAS050,2022-08-02T08:30:00Z,94184806
RAS052,2022-08-02T08:15:00Z,94184802
RAS056,2022-08-02T08:00:00Z,94184804
RAS060,2022-08-02T12:30:00Z,94184807
RAS063,2022-08-02T13:00:00Z,94184858
RAS064,2022-08-02T13:15:00Z,94184851
RAS065,2022-08-02T13:45:00Z,94184859
RAS066,2022-08-02T15:00:00Z,94194301
RAS070,2022-08-03T11:00:00Z,94194302
RAS071,2022-08-03T07:45:00Z,94184843
RAS073,2022-08-03T07:15:00Z,94184844
RAS077,2022-08-02T15:30:00Z,94184846
RAS079,2022-08-02T15:15:00Z,94194309
RAS083,2022-08-02T14:15:00Z,94194289
RAS095,2022-08-01T15:15:00Z,94194281
RAS097,2022-08-01T15:30:00Z,94194284
RAS099,2022-08-01T14:45:00Z,94194282
RAS102,2022-08-01T14:30:00Z,94194285
RAS104,2022-08-02T16:00:00Z,94194288
RAS107,2022-08-01T14:15:00Z,94184847
RAS109,2022-08-03T06:45:00Z,94184845
RAS113,2022-08-01T14:00:00Z,94184850
RAS116,2022-08-01T13:45:00Z,94184849
RAS118,2022-08-02T06:30:00Z,94194304
RAS121,2022-08-01T16:30:00Z,94194290
RAS123,2022-08-01T16:00:00Z,94194286
RAS125,2022-08-01T16:00:00Z,94194287
RAS003,2023-07-28T13:00:00Z,94184803
RAS008,2023-07-28T13:15:00Z,94184801
RAS011,2023-07-28T13:15:00Z,94184855
RAS012,2023-07-28T14:45:00Z,94184856
RAS015,2023-07-28T15:00:00Z,94194307
RAS017,2023-07-28T14:45:00Z,94194303
RAS022,2023-07-28T15:15:00Z,94194310
RAS025,2023-07-28T16:00:00Z,94184809
RAS027,2023-07-28T15:30:00Z,94194305
RAS029,2023-07-28T16:30:00Z,94184842
RAS031,2023-07-28T16:00:00Z,94184841
RAS036,2023-07-28T14:15:00Z,94194308
RAS040,2023-07-28T14:15:00Z,94184854
RAS042,2023-07-28T14:00:00Z,94184860
RAS046,2023-07-28T13:45:00Z,94184857
RAS050,2023-07-28T12:30:00Z,94184806
RAS052,2023-07-28T12:15:00Z,94184802
RAS056,2023-07-28T11:45:00Z,94184804
RAS060,2023-07-28T13:45:00Z,94184807
RAS063,2023-07-28T14:45:00Z,94184858
RAS064,2023-07-28T14:45:00Z,94184851
RAS065,2023-07-28T14:15:00Z,94184859
RAS066,2023-07-28T15:30:00Z,94194301
RAS070,2023-07-28T16:45:00Z,94194302
RAS071,2023-07-28T16:30:00Z,94184843
RAS073,2023-07-28T17:00:00Z,94184844
RAS077,2023-07-28T16:30:00Z,94184846
RAS079,2023-07-28T15:45:00Z,94194309
RAS095,2023-07-28T11:15:00Z,94194281
RAS097,2023-07-28T11:00:00Z,94194284
RAS099,2023-07-28T11:30:00Z,94194282
RAS102,2023-07-28T17:30:00Z,94194285
RAS104,2023-07-28T16:30:00Z,94194288
RAS107,2023-07-28T17:30:00Z,94184847
RAS113,2023-07-28T10:30:00Z,94184850
RAS116,2023-07-28T10:45:00Z,94184849
RAS118,2023-07-28T11:00:00Z,94194304
RAS121,2023-07-28T10:15:00Z,94194290
RAS123,2023-07-28T10:45:00Z,94194286
RAS125,2023-07-28T10:45:00Z,94194287
