site,tomst_id,start_date,end_date,probl
TII001,94194379,2019-06-11,2019-09-13,2
TII003,94194398,2019-06-11,2019-09-13,2
TII004,94194373,2019-06-11,2019-09-13,2
TII006,94194253,2019-06-10,2019-09-13,2
TII006,94194253,2022-05-10,2022-10-04,1
TII007,94194368,2019-06-11,2019-09-13,2
TII008,94190042,2019-09-04,2019-09-13,2
TII009,94194401,2019-06-12,2019-09-13,2
TII010,94194396,2019-06-11,2019-09-13,2
TII011,94194260,2019-06-10,2019-09-13,2
TII012,94194371,2019-06-11,2019-09-13,2
TII013,94194367,2019-06-11,2019-09-13,2
TII014,94194364,2019-06-11,2019-09-13,2
TII015,94190041,2019-09-04,2019-09-13,2
TII016,94194394,2019-06-11,2019-09-13,2
TII018,94194374,2019-06-11,2019-09-13,2
TII019,94194376,2019-06-11,2019-09-13,2
TII020,94194267,2019-06-10,2019-09-13,2
TII021,94194397,2019-06-11,2019-09-13,2
TII022,94194402,2019-06-12,2019-09-13,2
TII023,94194369,2019-06-11,2019-09-13,2
TII024,94194404,2019-06-12,2019-09-13,2
TII025,94194405,2019-06-12,2019-09-13,2
TII026,94194255,2019-06-10,2019-09-13,2
TII028,94194391,2019-06-11,2019-09-13,2
TII029,94194361,2019-06-11,2019-09-13,2
TII029,94194361,2020-11-23,2021-10-06,1
TII030,94194408,2019-06-12,2019-09-13,2
TII030,94194408,2021-06-27,2022-10-03,1
TII031,94194375,2019-06-11,2019-09-13,2
TII032,94194410,2019-06-12,2019-09-13,2
TII033,94194399,2019-06-11,2019-09-13,2
TII034,94194262,2019-06-10,2019-09-13,2
TII035,94194400,2019-06-11,2019-09-13,2
TII036,94194395,2019-06-11,2019-09-13,2
TII037,94194377,2019-06-11,2019-09-13,2
TII038,94194254,2019-06-10,2019-09-13,2
TII038,94194254,2022-05-22,2022-10-04,1
TII039,94194256,2019-06-10,2019-09-13,2
TII040,94194252,2019-06-10,2019-09-13,2
TII041,94194365,2019-06-11,2019-09-13,2
TII041,94194365,2021-05-10,2021-10-06,1
TII042,94194261,2019-06-10,2019-09-13,2
TII043,94194258,2019-06-10,2019-09-13,2
TII044,94194409,2019-06-12,2019-09-13,2
TII045,94194362,2019-06-11,2019-09-13,2
TII046,94194403,2019-06-12,2019-09-13,2
TII047,94194378,2019-06-11,2019-09-13,2
TII048,94194380,2019-06-11,2019-09-13,2
TII049,94194372,2019-06-11,2019-09-13,2
TII050,94194363,2019-06-11,2019-09-13,2
TII051,94194392,2019-06-11,2019-09-13,2
TII053,94194370,2019-06-11,2019-09-13,2
TII054,94194251,2019-06-10,2019-09-13,2
TII055,94194407,2019-06-12,2019-09-13,2
TII007,94194368,2022-05-10,2023-08-02,3
TII041,94194365,2022-05-10,2023-08-02,3
TII039,94194256,2023-05-21,2023-08-02,1
TII008,94190042,2023-08-02,2023-08-02,2
TII015,94190041,2023-08-02,2023-08-02,2
TII030,94194408,2023-08-02,2023-08-02,2
TII045,94194362,2023-08-03,2023-08-06,2
