site,maxdt,tomst_id
TII001,2020-11-03T13:30:00Z,94194379
TII003,2020-10-24T10:00:00Z,94194398
TII004,2020-10-24T06:00:00Z,94194373
TII006,2020-11-04T10:15:00Z,94194253
TII007,2020-11-04T07:45:00Z,94194368
TII008,2020-11-03T12:00:00Z,94190042
TII009,2020-11-04T13:30:00Z,94194401
TII010,2020-11-04T09:00:00Z,94194396
TII011,2020-11-04T11:15:00Z,94194260
TII012,2020-11-04T12:45:00Z,94194371
TII013,2020-10-24T07:00:00Z,94194367
TII014,2020-10-24T08:00:00Z,94194364
TII015,2020-11-03T10:45:00Z,94190041
TII016,2020-11-04T07:45:00Z,94194394
TII018,2020-11-03T14:00:00Z,94194374
TII019,2020-10-24T12:30:00Z,94194376
TII020,2020-11-04T06:30:00Z,94194267
TII021,2020-10-24T09:30:00Z,94194397
TII022,2020-11-03T12:45:00Z,94194402
TII023,2020-10-24T08:45:00Z,94194369
TII024,2020-10-24T08:45:00Z,94194404
TII025,2020-11-03T12:15:00Z,94194405
TII026,2020-11-04T11:00:00Z,94194255
TII028,2020-11-04T13:15:00Z,94194391
TII029,2020-11-04T08:15:00Z,94194361
TII030,2020-10-24T09:45:00Z,94194408
TII031,2020-11-03T13:30:00Z,94194375
TII032,2020-11-03T11:15:00Z,94194410
TII033,2020-11-04T07:15:00Z,94194399
TII034,2020-10-24T10:30:00Z,94194262
TII035,2020-11-04T07:15:00Z,94194400
TII036,2020-11-04T06:30:00Z,94194395
TII037,2020-11-03T14:00:00Z,94194377
TII038,2020-11-04T11:45:00Z,94194254
TII039,2020-11-04T05:15:00Z,94194256
TII040,2020-11-04T12:15:00Z,94194252
TII041,2020-11-04T08:00:00Z,94194365
TII042,2020-11-04T06:00:00Z,94194261
TII043,2020-10-24T12:15:00Z,94194258
TII044,2020-11-03T13:00:00Z,94194409
TII045,2020-11-04T08:45:00Z,94194362
TII046,2020-11-03T13:15:00Z,94194403
TII047,2020-11-03T14:15:00Z,94194378
TII048,2020-11-03T13:45:00Z,94194380
