site,tomst_id,start_date,end_date,probl
ULV001,94214276,2021-05-01,2022-05-31,2
ULV002,94214162,2021-05-01,2022-05-30,2
ULV003,94214295,2021-05-01,2022-05-31,2
ULV003,94214295,2022-10-03,2023-08-09,1
ULV004,94214198,2021-05-01,2022-05-25,2
ULV005,94214189,2021-05-01,2022-05-26,2
ULV007,94214221,2021-05-01,2022-05-26,2
ULV008,94214359,2021-05-01,2022-05-22,2
ULV009,94214213,2021-05-01,2022-05-25,2
ULV010,94214353,2021-05-01,2022-05-22,2
ULV011,94214209,2021-05-01,2022-05-22,2
ULV012,94214197,2021-05-01,2022-05-25,2
ULV012,94214197,2022-05-26,2023-08-09,3
ULV013,94214184,2021-05-01,2022-05-23,2
ULV014,94214187,2021-05-01,2022-05-27,2
ULV015,94214223,2021-05-01,2022-05-31,2
ULV016,94214220,2021-05-01,2022-05-26,2
ULV017,94214242,2021-05-01,2022-05-23,2
ULV017,94214242,2022-05-24,2023-08-09,3
ULV018,94214156,2021-05-01,2022-05-30,2
ULV019,94214355,2021-05-01,2022-05-21,2
ULV020,94214350,2021-05-01,2022-05-21,2
ULV021,94214218,2021-05-01,2022-05-26,2
ULV022,94214207,2021-05-01,2022-05-22,2
ULV023,94214214,2021-05-01,2022-05-26,2
ULV024,94214231,2021-05-01,2022-05-27,2
ULV024,94214231,2022-05-28,2023-08-07,3
ULV025,94214319,2021-05-01,2022-05-21,2
ULV026,94214323,2021-05-01,2022-05-31,2
ULV026,94214323,2023-05-22,2023-08-09,1
ULV027,94214243,2021-05-01,2022-05-23,2
ULV028,94214181,2021-05-01,2022-05-23,2
ULV029,94214316,2021-05-01,2022-05-21,2
ULV030,94214248,2021-05-01,2022-05-25,2
ULV031,94214200,2021-05-01,2022-05-25,2
ULV031,94214200,2022-10-15,2023-08-10,1
ULV032,94214160,2021-05-01,2022-05-31,2
ULV033,94214205,2021-05-01,2022-05-22,2
ULV034,94214211,2021-05-01,2022-05-25,2
ULV035,94214224,2021-05-01,2022-05-26,2
ULV036,94214183,2021-05-01,2022-05-23,2
ULV037,94214229,2021-05-01,2022-05-26,2
ULV038,94214228,2021-05-01,2022-05-26,2
ULV039,94214188,2021-05-01,2022-05-27,2
ULV040,94214163,2021-05-01,2022-05-30,2
ULV041,94214278,2021-05-01,2022-05-27,2
ULV042,94214260,2021-05-01,2022-05-31,2
ULV043,94214241,2021-05-01,2022-05-25,2
ULV044,94214249,2021-05-01,2022-05-25,2
ULV045,94214202,2021-05-01,2022-05-23,2
ULV046,94214280,2021-05-01,2022-05-27,2
ULV047,94214206,2021-05-01,2022-05-22,2
ULV048,94214219,2021-05-01,2022-05-26,2
ULV049,94214204,2021-05-01,2022-05-23,2
ULV050,94214245,2021-05-01,2022-05-23,2
ULV051,94214157,2021-05-01,2022-05-30,2
ULV052,94214317,2021-05-01,2022-05-21,2
ULV052,94214317,2022-08-11,2023-08-08,1
ULV053,94214216,2021-05-01,2022-05-26,2
ULV054,94214217,2021-05-01,2022-05-26,2
ULV055,94214250,2021-05-01,2022-05-25,2
ULV056,94214215,2021-05-01,2022-05-25,2
ULV057,94214318,2021-05-01,2022-05-22,2
ULV058,94214354,2021-05-01,2022-05-21,2
ULV059,94214294,2021-05-01,2022-05-31,2
ULV059,94214294,2022-09-04,2023-08-08,1
ULV060,94214320,2021-05-01,2022-05-21,2
ULV061,94214246,2021-05-01,2022-05-25,2
ULV061,94214246,2022-05-29,2023-08-10,1
ULV062,94214347,2021-05-01,2022-05-22,2
ULV063,94214349,2021-05-01,2022-05-22,2
ULV064,94214357,2021-05-01,2022-05-21,2
ULV065,94214348,2021-05-01,2022-05-22,2
ULV067,94214182,2021-05-01,2022-05-23,2
ULV068,94214164,2021-05-01,2022-05-30,2
ULV068,94214164,2022-06-16,2023-08-07,1
ULV069,94214325,2021-05-01,2022-05-31,2
ULV070,94214298,2021-05-01,2022-05-30,2
ULV071,94214352,2021-05-01,2022-05-22,2
ULV072,94214360,2021-05-01,2022-05-21,2
ULV073,94214259,2021-05-01,2022-05-31,2
ULV074,94214212,2021-05-01,2022-05-25,2
ULV075,94214226,2021-05-01,2022-05-26,2
ULV075,94214226,2022-05-27,2023-08-09,3
ULV076,94214210,2021-05-01,2022-05-22,2
ULV077,94214196,2021-05-01,2022-05-25,2
ULV077,94214196,2022-06-18,2023-08-10,1
ULV078,94214165,2021-05-01,2022-05-30,2
ULV079,94214279,2021-05-01,2022-05-27,2
ULV080,94214161,2021-05-01,2022-05-30,2
ULV081,94214293,2021-05-01,2022-05-31,2
ULV081,94214293,2022-06-01,2023-08-08,3
ULV082,94214234,2021-05-01,2022-05-27,2
ULV083,94214185,2021-05-01,2022-05-23,2
ULV084,94214208,2021-05-01,2022-05-22,2
ULV085,94214203,2021-05-01,2022-05-23,2
ULV086,94214321,2021-05-01,2022-05-31,2
ULV087,94214292,2021-05-01,2022-05-31,2
ULV087,94214292,2022-10-02,2023-08-08,1
ULV088,94214222,2021-05-01,2022-05-26,2
ULV089,94214199,2021-05-01,2022-05-25,2
ULV090,94214190,2021-05-01,2022-05-26,2
ULV091,94214230,2021-05-01,2022-05-25,2
ULV091,94214230,2022-05-26,2023-08-09,3
ULV092,94214247,2021-05-01,2022-05-26,2
ULV093,94214158,2021-05-01,2022-05-30,2
ULV094,94214186,2021-05-01,2022-05-27,2
ULV095,94214346,2021-05-01,2022-05-22,2
ULV096,94214351,2021-05-01,2022-05-22,2
ULV097,94214358,2021-05-01,2022-05-21,2
ULV098,94214356,2021-05-01,2022-05-21,2
ULV099,94214288,2021-05-01,2022-05-28,2
ULV100,94214300,2021-05-01,2022-05-30,2
ULV101,94214291,2021-05-01,2022-05-31,2
ULV102,94214258,2021-05-01,2022-05-31,2
ULV103,94214322,2021-05-01,2022-05-31,2
ULV103,94214322,2022-06-01,2023-08-08,3
ULV104,94214324,2021-05-01,2022-05-31,2
ULV105,94214201,2021-05-01,2022-05-23,2
ULV106,94214225,2021-05-01,2022-05-26,2
ULV108,94214296,2021-05-01,2022-05-28,2
