site,tomst_id,start_date,end_date,probl
VAR001,94194324,2019-06-10,2019-07-09,2
VAR002,94194338,2019-06-11,2019-07-12,2
VAR003,94194207,2019-06-10,2019-07-11,2
VAR004,94194319,2019-06-10,2019-07-09,2
VAR005,94194296,2019-06-10,2019-07-10,2
VAR006,94194322,2019-06-10,2019-07-10,2
VAR007,94194336,2019-06-11,2019-07-12,2
VAR008,94194298,2019-06-10,2019-07-10,2
VAR010,94194316,2019-06-10,2019-07-09,2
VAR011,94194294,2019-06-10,2019-07-11,2
VAR012,94194318,2019-06-10,2019-07-10,2
VAR012,94194318,2020-09-19,2021-07-05,1
VAR013,94194329,2019-06-10,2019-07-09,2
VAR014,94194201,2019-06-10,2019-07-11,2
VAR015,94194315,2019-06-10,2019-07-09,2
VAR015,94194315,2022-07-12,2022-09-29,1
VAR016,94194335,2019-06-11,2019-07-12,2
VAR017,94194295,2019-06-10,2019-07-10,2
VAR018,94194300,2019-06-10,2019-07-10,2
VAR019,94194328,2019-06-10,2019-07-09,2
VAR020,94194312,2019-06-10,2019-07-09,2
VAR021,94194321,2019-06-10,2019-07-10,2
VAR022,94194327,2019-06-10,2019-07-09,2
VAR023,94194311,2019-06-10,2019-07-09,2
VAR025,94194210,2019-06-10,2019-07-12,2
VAR026,94194320,2019-06-10,2019-07-09,2
VAR027,94194203,2019-06-10,2019-07-11,2
VAR028,94194206,2019-06-10,2019-07-11,2
VAR029,94194202,2019-06-10,2019-07-11,2
VAR030,94194314,2019-06-10,2019-07-09,2
VAR031,94194333,2019-06-11,2019-07-12,2
VAR032,94194323,2019-06-10,2019-07-10,2
VAR033,94194313,2019-06-10,2019-07-09,2
VAR035,94194421,2019-07-10,2019-09-24,2
VAR036,94194331,2019-06-11,2019-07-10,2
VAR037,94194292,2019-06-10,2019-07-10,2
VAR037,94194292,2020-06-16,2020-07-17,1
VAR038,94194337,2019-06-11,2019-07-12,2
VAR039,94194299,2019-06-10,2019-07-10,2
VAR039,94212876,2021-04-30,2021-07-07,2
VAR040,94194205,2019-06-10,2019-07-11,2
VAR041,94190043,2019-09-04,2019-09-24,2
VAR042,94212877,2021-04-30,2021-07-03,2
VAR042,94212877,2021-07-09,2022-10-02,8
VAR044,94194293,2019-06-10,2019-07-10,2
VAR045,94194297,2019-06-10,2019-07-10,2
VAR045,94194297,2020-10-06,2021-07-07,1
VAR046,94194209,2019-06-10,2019-07-11,2
VAR047,94194204,2019-06-10,2019-07-11,2
VAR048,94194332,2019-06-11,2019-07-10,2
VAR050,94194334,2019-06-11,2019-07-12,2
VAR051,94194208,2019-06-10,2019-07-11,2
VAR052,94194340,2019-06-11,2019-07-12,2
VAR053,94194291,2019-06-10,2019-07-11,2
VAR054,94194339,2019-06-11,2019-07-12,2
VAR055,94194325,2019-06-10,2019-07-09,2
VAR040,94194205,2023-08-06,2023-09-22,1
VAR045,94194297,2023-08-11,2023-09-22,3
