site,maxdt,tomst_id
VAR001,2020-07-16T12:45:00Z,94194324
VAR002,2020-07-15T13:45:00Z,94194338
VAR003,2020-07-16T07:30:00Z,94194207
VAR004,2020-07-15T08:45:00Z,94194319
VAR005,2020-07-17T08:15:00Z,94194296
VAR006,2020-07-17T13:15:00Z,94194322
VAR007,2020-07-15T12:45:00Z,94194336
VAR008,2020-07-17T10:15:00Z,94194298
VAR010,2020-07-15T08:15:00Z,94194316
VAR011,2020-07-18T08:15:00Z,94194294
VAR012,2020-07-17T06:15:00Z,94194318
VAR013,2020-07-16T13:45:00Z,94194329
VAR014,2020-07-18T07:45:00Z,94194201
VAR015,2020-07-15T07:15:00Z,94194315
VAR016,2020-07-15T12:30:00Z,94194335
VAR017,2020-07-17T07:45:00Z,94194295
VAR018,2020-07-17T11:30:00Z,94194300
VAR019,2020-07-16T13:15:00Z,94194328
VAR020,2020-07-15T07:45:00Z,94194312
VAR021,2020-07-17T11:00:00Z,94194321
VAR022,2020-07-16T12:15:00Z,94194327
VAR023,2020-07-15T06:30:00Z,94194311
VAR025,2020-07-15T11:15:00Z,94194210
VAR026,2020-07-15T09:00:00Z,94194320
VAR027,2020-07-16T07:00:00Z,94194203
VAR028,2020-07-16T07:45:00Z,94194206
VAR029,2020-07-18T07:30:00Z,94194202
VAR030,2020-07-15T08:00:00Z,94194314
VAR031,2020-07-15T11:30:00Z,94194333
VAR032,2020-07-17T12:45:00Z,94194323
VAR033,2020-07-15T06:45:00Z,94194313
VAR035,2020-07-16T14:15:00Z,94194421
VAR036,2020-07-17T12:00:00Z,94194331
VAR037,2020-07-17T06:30:00Z,94194292
VAR038,2020-07-15T13:15:00Z,94194337
VAR039,2020-07-17T09:00:00Z,94194299
VAR040,2020-07-16T07:15:00Z,94194205
VAR041,2020-07-15T11:00:00Z,94190043
VAR044,2020-07-17T07:00:00Z,94194293
VAR045,2020-07-17T07:45:00Z,94194297
VAR046,2020-07-16T08:30:00Z,94194209
VAR047,2020-07-16T08:00:00Z,94194204
VAR048,2020-07-17T11:45:00Z,94194332
VAR050,2020-07-15T12:00:00Z,94194334
VAR051,2020-07-16T08:15:00Z,94194208
VAR052,2020-07-15T14:15:00Z,94194340
VAR053,2020-07-18T08:30:00Z,94194291
VAR054,2020-07-15T14:15:00Z,94194339
VAR055,2020-07-16T13:00:00Z,94194325
VAR001,2021-07-06T08:00:00Z,94194324
VAR010,2021-07-03T10:45:00Z,94194316
VAR011,2021-07-02T10:00:00Z,94194294
VAR012,2021-07-05T10:00:00Z,94194318
VAR014,2021-07-02T08:45:00Z,94194201
VAR015,2021-07-03T08:30:00Z,94194315
VAR016,2021-07-05T10:45:00Z,94194335
VAR017,2021-07-07T11:00:00Z,94194295
VAR018,2021-07-09T09:00:00Z,94194300
VAR002,2021-07-05T12:30:00Z,94194338
VAR020,2021-07-03T09:00:00Z,94194312
VAR021,2021-07-09T09:45:00Z,94194321
VAR022,2021-07-06T07:00:00Z,94194327
VAR023,2021-07-03T07:15:00Z,94194311
VAR025,2021-07-05T07:30:00Z,94194210
VAR026,2021-07-03T11:45:00Z,94194320
VAR027,2021-07-04T11:15:00Z,94194203
VAR028,2021-07-04T09:15:00Z,94194206
VAR029,2021-07-02T07:00:00Z,94194202
VAR003,2021-07-04T09:45:00Z,94194207
VAR030,2021-07-03T10:00:00Z,94194314
VAR031,2021-07-05T08:00:00Z,94194333
VAR032,2021-07-09T12:45:00Z,94194323
VAR033,2021-07-03T07:45:00Z,94194313
VAR035,2021-07-06T08:45:00Z,94194421
VAR036,2021-07-09T11:30:00Z,94194331
VAR037,2021-07-07T08:15:00Z,94194292
VAR038,2021-07-09T07:15:00Z,94194337
VAR004,2021-07-03T11:00:00Z,94194319
VAR040,2021-07-04T10:30:00Z,94194205
VAR041,2021-07-05T07:00:00Z,94190043
VAR044,2021-07-07T09:00:00Z,94194293
VAR045,2021-07-07T11:15:00Z,94194297
VAR046,2021-07-04T07:15:00Z,94194209
VAR047,2021-07-04T08:30:00Z,94194204
VAR048,2021-07-09T10:45:00Z,94194332
VAR005,2021-07-07T10:30:00Z,94194296
VAR050,2021-07-05T09:30:00Z,94194334
VAR051,2021-07-04T08:00:00Z,94194208
VAR052,2021-07-05T13:30:00Z,94194340
VAR053,2021-07-02T10:30:00Z,94194291
VAR054,2021-07-05T13:00:00Z,94194339
VAR006,2021-07-07T23:45:00Z,94194322
VAR007,2021-07-05T11:45:00Z,94194336
VAR008,2021-07-07T13:30:00Z,94194298
VAR001,2022-09-29T06:00:00Z,94194324
VAR002,2022-09-29T13:15:00Z,94194338
VAR003,2022-09-30T10:15:00Z,94194207
VAR004,2022-09-29T09:45:00Z,94194319
VAR005,2022-10-02T09:15:00Z,94194296
VAR006,2022-10-02T07:45:00Z,94194322
VAR007,2022-09-29T12:45:00Z,94194336
VAR008,2022-10-02T11:00:00Z,94194298
VAR010,2022-09-29T09:45:00Z,94194316
VAR011,2022-09-30T08:00:00Z,94194294
VAR012,2022-09-29T12:00:00Z,94194318
VAR013,2022-09-29T07:00:00Z,94194329
VAR014,2022-09-30T07:45:00Z,94194201
VAR015,2022-09-29T09:00:00Z,94194315
VAR016,2022-09-29T12:15:00Z,94194335
VAR017,2022-10-02T09:45:00Z,94194295
VAR018,2022-10-02T11:45:00Z,94194300
VAR019,2022-09-29T06:30:00Z,94194328
VAR020,2022-09-29T09:00:00Z,94194312
VAR021,2022-10-02T11:15:00Z,94194321
VAR022,2022-09-29T06:00:00Z,94194327
VAR023,2022-09-29T08:15:00Z,94194311
VAR025,2022-09-29T11:00:00Z,94194210
VAR026,2022-09-29T10:15:00Z,94194320
VAR027,2022-09-30T10:00:00Z,94194203
VAR028,2022-09-30T10:45:00Z,94194206
VAR029,2022-09-30T07:15:00Z,94194202
VAR030,2022-09-29T09:15:00Z,94194314
VAR031,2022-09-29T11:30:00Z,94194333
VAR032,2022-10-02T12:45:00Z,94194323
VAR033,2022-09-29T08:30:00Z,94194313
VAR035,2022-09-29T05:30:00Z,94194421
VAR036,2022-10-02T12:15:00Z,94194331
VAR037,2022-10-02T08:00:00Z,94194292
VAR038,2022-09-30T09:15:00Z,94194337
VAR039,2022-10-02T10:30:00Z,94212876
VAR040,2022-09-30T10:15:00Z,94194205
VAR041,2022-09-29T11:00:00Z,94190043
VAR042,2022-10-02T12:30:00Z,94212877
VAR044,2022-10-02T08:30:00Z,94194293
VAR045,2022-10-02T09:45:00Z,94194297
VAR046,2022-09-30T11:15:00Z,94194209
VAR047,2022-09-30T11:00:00Z,94194204
VAR048,2022-10-02T12:00:00Z,94194332
VAR050,2022-09-29T11:45:00Z,94194334
VAR051,2022-09-30T11:15:00Z,94194208
VAR052,2022-09-29T13:30:00Z,94194340
VAR053,2022-09-30T08:15:00Z,94194291
VAR054,2022-09-29T13:15:00Z,94194339
VAR055,2022-09-29T06:15:00Z,94194325
VAR001,2023-09-19T07:30:00Z,94194324
VAR002,2023-09-19T06:45:00Z,94194338
VAR003,2023-09-22T12:15:00Z,94194207
VAR004,2023-09-19T06:45:00Z,94194319
VAR005,2023-09-22T09:15:00Z,94194296
VAR006,2023-09-22T08:00:00Z,94194322
VAR007,2023-09-19T06:45:00Z,94194336
VAR008,2023-09-22T09:45:00Z,94194298
VAR010,2023-09-19T06:30:00Z,94194316
VAR011,2023-09-23T07:45:00Z,94194294
VAR012,2023-09-19T07:30:00Z,94194318
VAR013,2023-09-19T08:15:00Z,94194329
VAR014,2023-09-23T07:45:00Z,94194201
VAR015,2023-09-19T05:45:00Z,94194315
VAR016,2023-09-19T07:30:00Z,94194335
VAR017,2023-09-22T08:45:00Z,94194295
VAR018,2023-09-22T10:45:00Z,94194300
VAR019,2023-09-19T08:15:00Z,94194328
VAR020,2023-09-19T05:45:00Z,94194312
VAR021,2023-09-22T10:00:00Z,94194321
VAR022,2023-09-19T07:15:00Z,94194327
VAR023,2023-09-19T05:15:00Z,94194311
VAR025,2023-09-19T09:00:00Z,94194210
VAR026,2023-09-19T07:00:00Z,94194320
VAR027,2023-09-22T12:15:00Z,94194203
VAR028,2023-09-22T12:45:00Z,94194206
VAR029,2023-09-23T07:00:00Z,94194202
VAR030,2023-09-19T06:15:00Z,94194314
VAR031,2023-09-19T08:45:00Z,94194333
VAR032,2023-09-22T08:45:00Z,94194323
VAR033,2023-09-19T05:30:00Z,94194313
VAR035,2023-09-19T08:45:00Z,94194421
VAR036,2023-09-22T09:30:00Z,94194331
VAR037,2023-09-22T07:45:00Z,94194292
VAR038,2023-09-22T11:30:00Z,94194337
VAR039,2023-09-22T10:15:00Z,94212876
VAR040,2023-09-22T12:15:00Z,94194205
VAR041,2023-09-19T09:15:00Z,94190043
VAR042,2023-09-22T08:45:00Z,94212877
VAR044,2023-09-22T08:15:00Z,94194293
VAR045,2023-09-22T09:00:00Z,94194297
VAR046,2023-09-22T13:00:00Z,94194209
VAR047,2023-09-22T13:00:00Z,94194204
VAR048,2023-09-22T09:45:00Z,94194332
VAR050,2023-09-19T08:00:00Z,94194334
VAR051,2023-09-22T13:00:00Z,94194208
VAR052,2023-09-19T05:45:00Z,94194340
VAR053,2023-09-23T07:45:00Z,94194291
VAR054,2023-09-19T06:00:00Z,94194339
VAR055,2023-09-19T07:45:00Z,94194325
