site,tomst_id,start_date,end_date,probl
VIN001,94212201,2021-04-01,2021-07-28,2
VIN001,94212201,2023-08-06,2023-12-31,2
VIN002,94212202,2021-04-01,2021-07-28,2
VIN002,94212202,2023-08-05,2023-12-31,2
VIN003,94212203,2021-04-01,2021-07-28,2
VIN003,94212203,2023-08-06,2023-12-31,2
VIN004,94212204,2021-04-01,2021-07-28,2
VIN004,94212204,2023-08-06,2023-12-31,2
VIN005,94212205,2021-04-01,2021-07-28,2
VIN005,94212205,2023-08-06,2023-12-31,2
VIN006,94212206,2021-04-01,2021-08-04,2
VIN006,94212206,2023-08-06,2023-12-31,2
VIN007,94212208,2021-04-01,2021-08-04,2
VIN007,94212208,2023-08-06,2023-12-31,2
VIN008,94212210,2021-04-01,2021-07-28,2
VIN008,94212210,2023-08-06,2023-12-31,2
VIN009,94212211,2021-04-01,2021-07-31,2
VIN010,94212212,2021-04-01,2021-07-31,2
VIN011,94212214,2021-04-01,2021-08-04,2
VIN011,94212214,2023-08-06,2023-12-31,2
VIN012,94212215,2021-04-01,2021-07-31,2
VIN013,94212216,2021-04-01,2021-08-04,2
VIN013,94212216,2023-08-06,2023-12-31,2
VIN014,94212217,2021-04-01,2021-07-31,2
VIN015,94212218,2021-04-01,2021-07-31,2
VIN016,94212219,2021-04-01,2021-08-04,2
VIN016,94212219,2023-08-06,2023-12-31,2
VIN017,94212220,2021-04-01,2021-08-04,2
VIN017,94212220,2023-08-06,2023-12-31,2
VIN018,94212221,2021-04-01,2021-08-04,2
VIN018,94212221,2023-08-06,2023-12-31,2
VIN019,94212222,2021-04-01,2021-08-04,2
VIN019,94212222,2023-08-06,2023-12-31,2
VIN020,94212223,2021-04-01,2021-08-04,2
VIN020,94212223,2023-08-06,2023-12-31,2
VIN021,94212224,2021-04-01,2021-08-04,2
VIN021,94212224,2023-08-06,2023-12-31,2
VIN022,94212225,2021-04-01,2021-08-04,2
VIN022,94212225,2023-08-06,2023-12-31,2
VIN023,94212226,2021-04-01,2021-08-04,2
VIN023,94212226,2023-08-06,2023-12-31,2
VIN024,94212227,2021-04-01,2021-08-04,2
VIN024,94212227,2023-08-06,2023-12-31,2
VIN025,94212228,2021-04-01,2021-08-04,2
VIN025,94212228,2023-08-06,2023-12-31,2
VIN026,94212229,2021-04-01,2021-08-04,2
VIN026,94212229,2023-07-16,2023-08-05,1
VIN026,94212229,2023-08-06,2023-12-31,2
VIN027,94212230,2021-04-01,2021-08-04,2
VIN027,94212230,2023-08-06,2023-12-31,2
VIN028,94212231,2021-04-01,2021-08-04,2
VIN028,94212231,2023-08-06,2023-12-31,2
VIN029,94212232,2021-04-01,2021-08-04,2
VIN029,94212232,2023-08-06,2023-12-31,2
VIN030,94212233,2021-04-01,2021-08-04,2
VIN030,94212233,2023-08-06,2023-12-31,2
VIN031,94212234,2021-04-01,2021-08-04,2
VIN031,94212234,2023-08-06,2023-12-31,2
VIN032,94212235,2021-04-01,2021-08-04,2
VIN032,94212235,2022-08-15,2023-08-04,1
VIN032,94212235,2023-08-05,2023-12-31,2
VIN033,94212236,2021-04-01,2021-08-04,2
VIN033,94212236,2023-08-06,2023-12-31,2
VIN034,94212237,2021-04-01,2021-08-05,2
VIN035,94212238,2021-04-01,2021-08-04,2
VIN035,94212238,2023-08-06,2023-12-31,2
VIN036,94212239,2021-04-01,2021-08-05,2
VIN037,94212240,2021-04-01,2021-08-04,2
VIN037,94212240,2023-08-06,2023-12-31,2
VIN038,94212242,2021-04-01,2021-08-05,2
VIN038,94212242,2022-07-28,2023-07-26,2
VIN039,94212243,2021-04-01,2021-08-05,2
VIN040,94212245,2021-04-01,2021-08-05,2
VIN041,94212246,2021-04-01,2021-08-05,2
VIN042,94212247,2021-04-01,2021-08-05,2
VIN043,94212248,2021-04-01,2021-08-05,2
VIN044,94212249,2021-04-01,2021-08-05,2
VIN045,94212250,2021-04-01,2021-08-05,2
VIN046,94212251,2021-04-01,2021-08-05,2
VIN047,94212252,2021-04-01,2021-08-05,2
VIN048,94212253,2021-04-01,2021-08-05,2
VIN049,94212254,2021-04-01,2021-08-05,2
VIN050,94212256,2021-04-01,2021-08-05,2
VIN051,94212257,2021-04-01,2021-08-05,2
VIN051,94212257,2022-08-04,2022-10-01,1
VIN052,94212258,2021-04-01,2021-08-05,2
VIN053,94212259,2021-04-01,2021-08-05,2
VIN054,94212261,2021-04-01,2022-10-01,2
VIN055,94212263,2021-04-01,2022-10-08,2
