site,maxdt,tomst_id
VIN001,2000-01-01T00:00:00Z,94212201
VIN002,2000-01-01T00:00:00Z,94212202
VIN003,2000-01-01T00:00:00Z,94212203
VIN004,2000-01-01T00:00:00Z,94212204
VIN005,2000-01-01T00:00:00Z,94212205
VIN006,2000-01-01T00:00:00Z,94212206
VIN007,2000-01-01T00:00:00Z,94212208
VIN008,2000-01-01T00:00:00Z,94212210
VIN009,2000-01-01T00:00:00Z,94212211
VIN010,2000-01-01T00:00:00Z,94212212
VIN011,2000-01-01T00:00:00Z,94212214
VIN012,2000-01-01T00:00:00Z,94212215
VIN013,2000-01-01T00:00:00Z,94212216
VIN014,2000-01-01T00:00:00Z,94212217
VIN015,2000-01-01T00:00:00Z,94212218
VIN016,2000-01-01T00:00:00Z,94212219
VIN017,2000-01-01T00:00:00Z,94212220
VIN018,2000-01-01T00:00:00Z,94212221
VIN019,2000-01-01T00:00:00Z,94212222
VIN020,2000-01-01T00:00:00Z,94212223
VIN021,2000-01-01T00:00:00Z,94212224
VIN022,2000-01-01T00:00:00Z,94212225
VIN023,2000-01-01T00:00:00Z,94212226
VIN024,2000-01-01T00:00:00Z,94212227
VIN025,2000-01-01T00:00:00Z,94212228
VIN026,2000-01-01T00:00:00Z,94212229
VIN027,2000-01-01T00:00:00Z,94212230
VIN028,2000-01-01T00:00:00Z,94212231
VIN029,2000-01-01T00:00:00Z,94212232
VIN030,2000-01-01T00:00:00Z,94212233
VIN031,2000-01-01T00:00:00Z,94212234
VIN032,2000-01-01T00:00:00Z,94212235
VIN033,2000-01-01T00:00:00Z,94212236
VIN034,2000-01-01T00:00:00Z,94212237
VIN035,2000-01-01T00:00:00Z,94212238
VIN036,2000-01-01T00:00:00Z,94212239
VIN037,2000-01-01T00:00:00Z,94212240
VIN038,2000-01-01T00:00:00Z,94212242
VIN039,2000-01-01T00:00:00Z,94212243
VIN040,2000-01-01T00:00:00Z,94212245
VIN041,2000-01-01T00:00:00Z,94212246
VIN042,2000-01-01T00:00:00Z,94212247
VIN043,2000-01-01T00:00:00Z,94212248
VIN044,2000-01-01T00:00:00Z,94212249
VIN045,2000-01-01T00:00:00Z,94212250
VIN046,2000-01-01T00:00:00Z,94212251
VIN047,2000-01-01T00:00:00Z,94212252
VIN048,2000-01-01T00:00:00Z,94212253
VIN049,2000-01-01T00:00:00Z,94212254
VIN050,2000-01-01T00:00:00Z,94212256
VIN051,2000-01-01T00:00:00Z,94212257
VIN052,2000-01-01T00:00:00Z,94212258
VIN053,2000-01-01T00:00:00Z,94212259
VIN054,2000-01-01T00:00:00Z,94212261
VIN055,2000-01-01T00:00:00Z,94212263
VIN001,2023-10-03T08:15:00Z,94212201
VIN002,2023-10-03T08:30:00Z,94212202
VIN003,2023-10-03T07:45:00Z,94212203
VIN004,2023-10-03T09:30:00Z,94212204
VIN005,2023-10-03T08:15:00Z,94212205
VIN006,2023-10-03T07:15:00Z,94212206
VIN007,2023-10-03T07:15:00Z,94212208
VIN008,2023-10-03T09:30:00Z,94212210
VIN009,2023-07-26T12:00:00Z,94212211
VIN010,2023-07-26T11:45:00Z,94212212
VIN011,2023-10-03T09:45:00Z,94212214
VIN012,2023-07-26T11:45:00Z,94212215
VIN013,2023-10-03T07:30:00Z,94212216
VIN014,2023-07-26T11:45:00Z,94212217
VIN015,2023-07-26T11:45:00Z,94212218
VIN016,2023-10-03T08:00:00Z,94212219
VIN017,2023-10-03T08:15:00Z,94212220
VIN018,2023-10-03T08:15:00Z,94212221
VIN019,2023-10-03T07:00:00Z,94212222
VIN020,2023-10-03T09:45:00Z,94212223
VIN021,2023-10-03T07:15:00Z,94212224
VIN022,2023-10-03T08:00:00Z,94212225
VIN023,2023-10-03T07:30:00Z,94212226
VIN024,2023-10-03T09:30:00Z,94212227
VIN025,2023-10-03T07:15:00Z,94212228
VIN026,2023-10-03T08:00:00Z,94212229
VIN027,2023-10-03T07:45:00Z,94212230
VIN028,2023-10-03T08:15:00Z,94212231
VIN029,2023-10-03T07:45:00Z,94212232
VIN030,2023-10-03T07:45:00Z,94212233
VIN031,2023-10-03T07:45:00Z,94212234
VIN032,2023-10-03T08:00:00Z,94212235
VIN033,2023-10-03T09:15:00Z,94212236
VIN034,2023-07-26T15:15:00Z,94212237
VIN035,2023-10-03T09:45:00Z,94212238
VIN036,2023-07-26T12:45:00Z,94212239
VIN037,2023-10-03T08:15:00Z,94212240
VIN038,2023-07-26T15:45:00Z,94212242
VIN039,2023-07-26T15:30:00Z,94212243
VIN040,2023-07-26T15:30:00Z,94212245
VIN041,2023-07-26T13:00:00Z,94212246
VIN042,2023-07-26T13:00:00Z,94212247
VIN043,2023-07-26T13:00:00Z,94212248
VIN044,2023-07-26T12:30:00Z,94212249
VIN045,2023-07-26T12:30:00Z,94212250
VIN046,2023-07-29T12:15:00Z,94212251
VIN047,2023-07-29T12:45:00Z,94212252
VIN048,2023-07-29T12:30:00Z,94212253
VIN049,2023-07-29T12:30:00Z,94212254
VIN050,2022-07-17T12:30:00Z,94212256
VIN051,2023-07-26T11:15:00Z,94212257
VIN052,2023-07-26T13:30:00Z,94212258
VIN053,2023-07-29T12:15:00Z,94212259
VIN054,2023-07-26T15:45:00Z,94212261
VIN055,2023-07-26T15:15:00Z,94212263
